platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,primary_energy_per_op_j,total_energy_per_op_j,dram_energy_per_op_j,primary_power_w,total_power_w,edp_primary_j_s,edp_total_j_s,throughput_gflops_exact,primary_efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches,working_set_bytes,operational_intensity_flop_per_byte
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1,4000000,gpu_resident,-1,1.2284495780305637e-05,1.2284509848963195e-05,0.0010194523610633384,0.0010194523610633384,,82.98692832956151,82.98692832956151,1.2523455650152555e-08,1.2523455650152555e-08,325.6136085302544,3.9236778722050776,1302.4550853483975,15.694719336178018,55.0,2767.0,2767.0,0.0,81404.0,16000004.0,0.24999987500003126
5060ti,RTX 5060 Ti,GPU,GPU board NVML,2,4000000,gpu_resident,-1,1.2284477980197534e-05,1.2284498977138714e-05,0.001014907129870768,0.001014907129870768,,82.61715094331143,82.61715094331143,1.2467586578594293e-08,1.2467586578594293e-08,325.6140803417243,3.941246370837504,1302.4569725952206,15.764993365844727,56.0,2767.0,2767.0,0.0,81404.0,16000004.0,0.24999987500003126
5060ti,RTX 5060 Ti,GPU,GPU board NVML,3,4000000,gpu_resident,-1,1.2284663100093362e-05,1.2284507974546707e-05,0.0010192128150950813,0.0010192128150950813,,82.96624459314387,82.96624459314387,1.2520691608355404e-08,1.2520691608355404e-08,325.6091736019748,3.924596755605067,1302.4373456264098,15.698394871615744,58.0,2767.0,2767.0,0.0,81404.0,16000004.0,0.24999987500003126
5060ti,RTX 5060 Ti,GPU,GPU board NVML,4,4000000,gpu_resident,-1,1.228461746965751e-05,1.2284500476696477e-05,0.0010193909390201956,0.0010193909390201956,,82.98100744883345,82.98100744883345,1.2522840087209064e-08,1.2522840087209064e-08,325.61038305668797,3.9239108240467866,1302.4421834476807,15.695651144010753,59.0,2767.0,2767.0,0.0,81404.0,16000004.0,0.24999987500003126
5060ti,RTX 5060 Ti,GPU,GPU board NVML,5,4000000,gpu_resident,-1,1.2284620804874453e-05,1.2284515847255664e-05,0.0010198147511178812,0.0010198147511178812,,83.0156917104903,83.0156917104903,1.2528018560934087e-08,1.2528018560934087e-08,325.61029465499075,3.9222800441232932,1302.4418298407154,15.689128021055222,58.0,2767.0,2767.0,0.0,81404.0,16000004.0,0.24999987500003126
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1,8000000,gpu_resident,-1,2.0509926092663618e-05,2.0509958125397377e-05,0.0018676395184281233,0.0018676395184281233,,91.06146592415149,91.06146592415149,3.830464779022724e-08,3.830464779022724e-08,390.05498917350644,4.283482348481311,1560.2203467490635,17.133933677408123,64.0,2767.0,2767.0,0.0,48757.0,32000004.0,0.24999993750000782
5060ti,RTX 5060 Ti,GPU,GPU board NVML,2,8000000,gpu_resident,-1,2.046900967127886e-05,2.0469009027038645e-05,0.0018101359096119206,0.0018101359096119206,,88.43261715316386,88.43261715316386,3.705184938495444e-08,3.705184938495444e-08,390.8346875848172,4.419557238426747,1563.3391411740054,17.678233373264778,57.0,2775.0,2775.0,0.0,48856.0,32000004.0,0.24999993750000782
5060ti,RTX 5060 Ti,GPU,GPU board NVML,3,8000000,gpu_resident,-1,2.0500984348093484e-05,2.0500642933681836e-05,0.0018187064370643706,0.0018187064370643706,,88.71535701466684,88.71535701466684,3.728433515705014e-08,3.728433515705014e-08,390.22511622736056,4.398731395703162,1560.9008551346074,17.594929981544595,59.0,2775.0,2775.0,0.0,48780.0,32000004.0,0.24999993750000782
5060ti,RTX 5060 Ti,GPU,GPU board NVML,4,8000000,gpu_resident,-1,2.0508436181337272e-05,2.05082417521683e-05,0.0018198622132004675,0.0018198622132004675,,88.74547345929597,88.74547345929597,3.7317577327803165e-08,3.7317577327803165e-08,390.0833261651872,4.395942512196881,1560.333694744124,17.583774444730583,60.0,2763.5,2760.0,0.0,48771.0,32000004.0,0.24999993750000782
5060ti,RTX 5060 Ti,GPU,GPU board NVML,5,8000000,gpu_resident,-1,2.0509577706928014e-05,2.0509416185491973e-05,0.001830818280606073,0.001830818280606073,,89.27255696844139,89.27255696844139,3.754676345209449e-08,3.754676345209449e-08,390.06161489464785,4.369631367336677,1560.2468496402553,17.478529838978616,60.0,2760.0,2760.0,0.0,48773.0,32000004.0,0.24999993750000782
