schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok,source_file,session_number,checksum_bool,runtime_per_op_s,kernel_runtime_per_op_s,device_energy_per_op_j,edp_j_s,clock_change_pct,temperature_rise_c,kernel_fraction,throttle_mask,serious_throttle,outlier_scope
cpu-gpu-v2,2026-07-19T17:28:21,20260719_172746_session1,18,18,8,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,16384,N=16384,1,1.79315,1.79315,1.79315,284.911,284.911,-1.0,284.911,158.8885652,3.239063062e-11,1793.150024,1793.149807,8796093022000.0,4905.385998,3221225472.0,158.888565,above,4,8,2730,2730,2730,13801,73,73,73,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,1.79315,1.79315,284.911,510.88815965000003,0.0,0,1.0,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:29:51,20260719_172746_session2,1,1,1,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,64,N=64,100000,1.041219,1.041214,1.041219,37.597,37.597,-1.0,0.00037597,36.10863503,7.171058655e-10,0.01041214478,0.01041219087,52428800000.0,50.353507,49152.0,36.108635,in_range,4,8,2790,2790,2790,13801,51,51,50,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,1.041219e-05,1.0412140000000001e-05,0.00037597,3.9146710743e-09,0.0,-1,0.9999951979362652,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:29:52,20260719_172746_session2,2,2,2,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,64,N=64,100000,1.049502,1.049497,1.049502,33.994,33.994,-1.0,0.00033994,32.39061361,6.483840942e-10,0.01049497192,0.01049501575,52428800000.0,49.956113,49152.0,32.390614,in_range,4,8,2793,2790,2797,13801,50,50,50,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,1.049502e-05,1.0494969999999998e-05,0.00033994,3.5676770988e-09,0.25089605734767023,0,0.999995235835663,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:30:55,20260719_172746_session2,53,53,3,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,128,N=128,101922,1.005899,1.005902,1.005899,46.009,46.009,-1.0,0.0004514138263,45.73918478,1.07625443e-10,0.009869331229,0.009869301966,427491852300.0,424.983609,196608.0,45.739185,in_range,4,8,2790,2790,2790,13801,51,51,51,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,9.869302015266577e-06,9.869331449539845e-06,0.00045141382625929634,4.45513938522007e-09,0.0,0,1.0000029824067824,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:30:19,20260719_172746_session2,26,26,6,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,256,N=256,61072,0.999581,0.999574,0.999581,75.616,75.616,-1.0,0.00123814514,75.64769487,3.689960063e-11,0.01636714501,0.01636725537,2049236271000.0,2050.109044,786432.0,75.647695,in_range,4,8,2775,2775,2775,13801,57,57,57,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,1.6367255043227668e-05,1.636714042441708e-05,0.0012381451401624313,2.026503728957138e-08,0.0,0,0.9999929970657705,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:30:21,20260719_172746_session2,28,28,8,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,256,N=256,61072,0.999786,0.999786,0.999786,75.846,75.846,-1.0,0.001241911187,75.86221312,3.701183757e-11,0.01637060392,0.01637061635,2049236271000.0,2049.675881,786432.0,75.862213,in_range,4,8,2775,2775,2775,13801,56,56,56,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,1.6370611736966202e-05,1.6370611736966202e-05,0.001241911186795913,2.0330845850830797e-08,0.0,0,1.0,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:30:22,20260719_172746_session2,29,29,9,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,256,N=256,61072,0.999777,0.99978,0.999777,75.743,75.743,-1.0,0.001240224653,75.75989173,3.696157494e-11,0.01637050598,0.01637046496,2049236271000.0,2049.688143,786432.0,75.759892,in_range,4,8,2775,2775,2775,13801,56,56,56,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,1.6370464369924025e-05,1.6370513492271416e-05,0.001240224652868745,2.0303053490489182e-08,0.0,0,1.0000030006691492,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:30:23,20260719_172746_session2,30,30,10,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,256,N=256,61072,0.999513,0.999513,0.999513,75.616,75.616,-1.0,0.00123814514,75.65287192,3.689960063e-11,0.01636614661,0.01636613533,2049236271000.0,2050.234108,786432.0,75.652872,in_range,4,8,2775,2775,2775,13801,56,56,56,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,1.6366141603353418e-05,1.6366141603353418e-05,0.0012381451401624313,2.0263658689402216e-08,0.0,0,1.0,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:31:24,20260719_172746_session2,78,78,8,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,512,N=512,14525,0.982238,0.982239,0.982238,97.879,97.879,-1.0,0.006738657487,99.6489851,2.510345536e-11,0.06762403268,0.06762394499,3899024998000.0,3969.527479,3145728.0,99.648985,in_range,4,8,2767,2767,2767,13801,65,65,65,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,6.76239586919105e-05,6.762402753872633e-05,0.006738657487091223,4.5569469554599025e-07,0.0,0,1.0000010180831935,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:30:06,20260719_172746_session2,14,14,4,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,1024,N=1024,2246,1.007688,1.007675,1.007688,135.209,135.209,-1.0,0.06019991095,134.1774072,2.803276803e-11,0.4486531286,0.4486590717,4823248273000.0,4786.512143,12582912.0,134.177407,in_range,4,8,2745,2745,2745,13801,66,66,66,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session2.csv,2,True,0.0004486589492430988,0.000448653161175423,0.06019991095280499,2.70092287926136e-05,0.0,0,0.9999870991814929,0,False,within_session_and_size
