OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=2 active=2
[STRIDED_GEMM] N=4096 threads=32 rep=8 batches=18 time=1.029 s | package=285.642 J | dram=NA | total=285.642 J | power=277.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=9 batches=18 time=1.029 s | package=285.904 J | dram=NA | total=285.904 J | power=277.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=10 batches=18 time=1.029 s | package=285.428 J | dram=NA | total=285.428 J | power=277.4 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=64 threads=4 rep=1 batches=162452 time=1.000 s | package=72.025 J | dram=NA | total=72.025 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=2 batches=162452 time=1.000 s | package=72.069 J | dram=NA | total=72.069 J | power=72.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=3 batches=162452 time=1.000 s | package=71.995 J | dram=NA | total=71.995 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=4 batches=162452 time=0.998 s | package=71.833 J | dram=NA | total=71.833 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=5 batches=162452 time=0.999 s | package=71.857 J | dram=NA | total=71.857 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=6 batches=162452 time=0.998 s | package=71.851 J | dram=NA | total=71.851 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=7 batches=162452 time=0.999 s | package=71.855 J | dram=NA | total=71.855 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=8 batches=162452 time=0.999 s | package=71.961 J | dram=NA | total=71.961 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=9 batches=162452 time=0.999 s | package=71.830 J | dram=NA | total=71.830 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=4 rep=10 batches=162452 time=0.999 s | package=71.929 J | dram=NA | total=71.929 J | power=72.0 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=20 active=20
[STRIDED_GEMM] N=512 threads=20 rep=1 batches=3024 time=1.001 s | package=226.118 J | dram=NA | total=226.118 J | power=226.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=2 batches=3024 time=1.008 s | package=227.138 J | dram=NA | total=227.138 J | power=225.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=3 batches=3024 time=1.003 s | package=226.765 J | dram=NA | total=226.765 J | power=226.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=4 batches=3024 time=1.003 s | package=226.852 J | dram=NA | total=226.852 J | power=226.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=5 batches=3024 time=1.002 s | package=227.178 J | dram=NA | total=227.178 J | power=226.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=6 batches=3024 time=1.003 s | package=227.020 J | dram=NA | total=227.020 J | power=226.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=7 batches=3024 time=1.003 s | package=226.929 J | dram=NA | total=226.929 J | power=226.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=8 batches=3024 time=1.004 s | package=227.139 J | dram=NA | total=227.139 J | power=226.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=9 batches=3024 time=1.004 s | package=227.126 J | dram=NA | total=227.126 J | power=226.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=20 rep=10 batches=3024 time=1.004 s | package=227.104 J | dram=NA | total=227.104 J | power=226.1 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=8192 threads=4 rep=1 batches=1 time=2.312 s | package=297.201 J | dram=NA | total=297.201 J | power=128.6 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=2 batches=1 time=2.323 s | package=297.507 J | dram=NA | total=297.507 J | power=128.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=8192 threads=4 rep=3 batches=1 time=2.316 s | package=296.957 J | dram=NA | total=296.957 J | power=128.2 W | runtime=above | checksum=OK
