OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=4096 threads=64 rep=8 batches=18 time=1.052 s | package=254.635 J | dram=NA | total=254.635 J | power=242.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=9 batches=18 time=1.054 s | package=256.148 J | dram=NA | total=256.148 J | power=243.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=10 batches=18 time=1.053 s | package=255.284 J | dram=NA | total=255.284 J | power=242.5 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=4096 threads=4 rep=1 batches=4 time=1.185 s | package=153.316 J | dram=NA | total=153.316 J | power=129.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=2 batches=4 time=1.189 s | package=153.697 J | dram=NA | total=153.697 J | power=129.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=3 batches=4 time=1.193 s | package=153.398 J | dram=NA | total=153.398 J | power=128.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=4 batches=4 time=1.195 s | package=152.941 J | dram=NA | total=152.941 J | power=128.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=5 batches=4 time=1.194 s | package=153.533 J | dram=NA | total=153.533 J | power=128.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=6 batches=4 time=1.186 s | package=152.220 J | dram=NA | total=152.220 J | power=128.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=7 batches=4 time=1.189 s | package=152.372 J | dram=NA | total=152.372 J | power=128.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=8 batches=4 time=1.185 s | package=151.958 J | dram=NA | total=151.958 J | power=128.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=9 batches=4 time=1.183 s | package=151.753 J | dram=NA | total=151.753 J | power=128.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=4 rep=10 batches=4 time=1.191 s | package=152.325 J | dram=NA | total=152.325 J | power=127.8 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=2048 threads=4 rep=1 batches=27 time=1.009 s | package=128.443 J | dram=NA | total=128.443 J | power=127.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=2 batches=27 time=1.015 s | package=128.850 J | dram=NA | total=128.850 J | power=127.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=4 rep=3 batches=27 time=1.015 s | package=128.879 J | dram=NA | total=128.879 J | power=127.0 W | runtime=in_range | checksum=OK
