OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY SkylakeX MAX_THREADS=128
STRIDED_GEMM(ld=2N) | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | session=strided_gemm_intel_20260719_175326_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=4096 threads=16 rep=6 batches=8 time=1.106 s | package=178.840 J | dram=1.750718 | total=180.591 J | power=163.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=7 batches=8 time=1.106 s | package=179.194 J | dram=1.739381 | total=180.934 J | power=163.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=8 batches=8 time=1.105 s | package=179.309 J | dram=1.764626 | total=181.074 J | power=163.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=9 batches=8 time=1.105 s | package=179.266 J | dram=1.756807 | total=181.023 J | power=163.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=10 batches=8 time=1.106 s | package=179.553 J | dram=1.756363 | total=181.310 J | power=164.0 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=2 active=2
[STRIDED_GEMM] N=4096 threads=2 rep=1 batches=4 time=1.329 s | package=108.843 J | dram=0.339537 | total=109.182 J | power=82.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=2 batches=4 time=1.344 s | package=106.455 J | dram=0.315440 | total=106.770 J | power=79.5 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=3 batches=4 time=1.355 s | package=105.745 J | dram=0.311722 | total=106.057 J | power=78.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=4 batches=4 time=1.358 s | package=105.023 J | dram=0.308158 | total=105.331 J | power=77.6 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=5 batches=4 time=1.356 s | package=106.116 J | dram=0.303842 | total=106.420 J | power=78.5 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=6 batches=4 time=1.359 s | package=104.998 J | dram=0.323075 | total=105.322 J | power=77.5 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=7 batches=4 time=1.357 s | package=105.729 J | dram=0.321483 | total=106.051 J | power=78.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=8 batches=4 time=1.357 s | package=105.750 J | dram=0.315701 | total=106.066 J | power=78.2 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=9 batches=4 time=1.356 s | package=105.857 J | dram=0.320856 | total=106.178 J | power=78.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=4096 threads=2 rep=10 batches=4 time=1.355 s | package=105.585 J | dram=0.313313 | total=105.898 J | power=78.1 W | runtime=above | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=2048 threads=8 rep=1 batches=73 time=1.014 s | package=144.994 J | dram=1.133393 | total=146.127 J | power=144.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=2 batches=73 time=1.016 s | package=146.409 J | dram=1.140799 | total=147.550 J | power=145.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=3 batches=73 time=1.011 s | package=147.328 J | dram=1.137142 | total=148.465 J | power=146.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=4 batches=73 time=0.999 s | package=148.415 J | dram=1.134740 | total=149.550 J | power=149.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=5 batches=73 time=0.977 s | package=150.596 J | dram=1.138106 | total=151.734 J | power=155.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=6 batches=73 time=0.979 s | package=150.683 J | dram=1.141105 | total=151.824 J | power=155.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=7 batches=73 time=0.978 s | package=150.764 J | dram=1.123861 | total=151.888 J | power=155.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=8 batches=73 time=0.980 s | package=150.774 J | dram=1.135443 | total=151.910 J | power=155.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=9 batches=73 time=0.978 s | package=150.796 J | dram=1.119669 | total=151.916 J | power=155.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=2048 threads=8 rep=10 batches=73 time=0.978 s | package=151.030 J | dram=1.117114 | total=152.147 J | power=155.6 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=512 threads=4 rep=1 batches=2379 time=1.000 s | package=108.335 J | dram=0.000000 | total=108.335 J | power=108.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=2 batches=2379 time=1.022 s | package=106.221 J | dram=0.000000 | total=106.221 J | power=103.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=3 batches=2379 time=1.067 s | package=99.889 J | dram=0.000000 | total=99.889 J | power=93.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=4 rep=4 batches=2379 time=1.070 s | package=99.068 J | dram=0.000000 | total=99.068 J | power=92.6 W | runtime=in_range | checksum=OK
