source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
reduction_amd_20260722_174206_session1.csv,1,144,32000000,4T,4,4,0.0026967956989247316,0.2444466129032258,t,True,False
reduction_amd_20260722_174206_session1.csv,1,518,64000000,10T,10,8,0.004471693333333334,0.5186441688888889,t,True,False
reduction_amd_20260722_174206_session1.csv,1,231,64000000,16T,16,1,0.004462826666666666,0.5275047955555556,t,True,False
reduction_amd_20260722_174206_session1.csv,1,759,64000000,20T,20,9,0.004959192118226601,0.5872995862068966,t,True,False
reduction_amd_20260722_174206_session1.csv,1,257,64000000,2T,2,7,0.007977007936507937,0.6414218571428572,t,False,True
reduction_amd_20260722_174206_session1.csv,1,258,64000000,2T,2,8,0.008082809523809525,0.6940930793650794,t,True,True
reduction_amd_20260722_174206_session1.csv,1,260,64000000,2T,2,10,0.008011920634920634,0.6412284682539683,t,False,True
reduction_amd_20260722_174206_session1.csv,1,731,64000000,4T,4,1,0.005411513513513514,0.49149647027027027,t,False,True
reduction_amd_20260722_174206_session1.csv,1,732,64000000,4T,4,2,0.005446470270270271,0.48631534594594594,t,False,True
reduction_amd_20260722_174206_session1.csv,1,361,64000000,64T,64,1,0.004748232227488151,0.7433842227488152,t,False,True
reduction_amd_20260722_174206_session1.csv,1,541,128000000,10T,10,1,0.009476122641509434,0.9750134056603774,t,True,False
reduction_amd_20260722_174206_session1.csv,1,771,128000000,16T,16,1,0.009109581818181818,1.097861090909091,t,True,False
reduction_amd_20260722_174206_session1.csv,1,772,128000000,16T,16,2,0.009138309090909092,1.1003169363636365,t,True,False
reduction_amd_20260722_174206_session1.csv,1,778,128000000,16T,16,8,0.00914,1.1021646818181818,t,True,True
reduction_amd_20260722_174206_session1.csv,1,31,128000000,1T,1,1,0.02698421052631579,1.845284052631579,t,True,False
reduction_amd_20260722_174206_session1.csv,1,261,128000000,20T,20,1,0.010415329896907216,1.2250045773195877,t,False,True
reduction_amd_20260722_174206_session1.csv,1,262,128000000,20T,20,2,0.010420474226804123,1.2288253608247424,t,False,True
reduction_amd_20260722_174206_session1.csv,1,263,128000000,20T,20,3,0.0104219587628866,1.2310909381443298,t,False,True
reduction_amd_20260722_174206_session1.csv,1,611,128000000,64T,64,1,0.009625346153846154,1.5148039711538461,t,True,False
reduction_amd_20260722_174206_session1.csv,1,614,128000000,64T,64,4,0.00972926923076923,1.5260944423076923,t,True,False
reduction_amd_20260722_174206_session1.csv,1,615,128000000,64T,64,5,0.009726211538461538,1.5291463461538461,t,True,False
reduction_amd_20260722_174206_session1.csv,1,272,128000000,8T,8,2,0.009453869158878504,1.0999137102803738,t,True,False
reduction_amd_20260722_174206_session1.csv,1,91,256000000,10T,10,1,0.01884074074074074,1.8858238148148148,t,True,False
reduction_amd_20260722_174206_session1.csv,1,94,256000000,10T,10,4,0.018887944444444443,1.901885962962963,t,True,False
reduction_amd_20260722_174206_session1.csv,1,791,256000000,16T,16,1,0.01811614285714286,2.382753857142857,t,True,False
reduction_amd_20260722_174206_session1.csv,1,792,256000000,16T,16,2,0.018181642857142858,2.388135839285714,t,True,False
reduction_amd_20260722_174206_session1.csv,1,795,256000000,16T,16,5,0.018161678571428568,2.3807460714285713,t,True,False
reduction_amd_20260722_174206_session1.csv,1,81,256000000,1T,1,1,0.05376826315789474,3.6818204210526315,t,True,False
reduction_amd_20260722_174206_session1.csv,1,82,256000000,1T,1,2,0.053783526315789476,3.683918789473684,t,True,False
reduction_amd_20260722_174206_session1.csv,1,321,256000000,2T,2,1,0.0310150303030303,2.462787787878788,t,True,False
reduction_amd_20260722_174206_session1.csv,1,431,256000000,32T,32,1,0.018476036363636362,2.6305638,t,True,True
reduction_amd_20260722_174206_session1.csv,1,631,256000000,64T,64,1,0.019088528301886794,3.0080565471698115,t,True,False
reduction_amd_20260722_174206_session1.csv,1,172,256000000,8T,8,2,0.018624925925925927,2.2783646851851853,t,True,False
reduction_amd_20260722_174206_session2.csv,2,21,1000000,16T,16,1,8.849007887383724e-06,0.0012463673999929261,t,True,False
reduction_amd_20260722_174206_session2.csv,2,22,1000000,16T,16,2,8.938006225020338e-06,0.0012544811569341775,t,True,True
reduction_amd_20260722_174206_session2.csv,2,1,1000000,20T,20,1,8.197884667095818e-06,0.0012352353267113742,t,False,True
reduction_amd_20260722_174206_session2.csv,2,2,1000000,20T,20,2,8.247141937534121e-06,0.0012431043488180698,t,True,False
reduction_amd_20260722_174206_session2.csv,2,191,1000000,32T,32,1,4.993817873866693e-05,0.007341378250473249,t,True,False
reduction_amd_20260722_174206_session2.csv,2,209,1000000,8T,8,9,2.8677553679678206e-05,0.002959591241289445,t,True,True
reduction_amd_20260722_174206_session2.csv,2,794,2000000,10T,10,4,3.7832570429087124e-05,0.00454812980536638,t,False,True
reduction_amd_20260722_174206_session2.csv,2,800,2000000,10T,10,10,3.77258382642998e-05,0.004548219530348703,t,False,True
reduction_amd_20260722_174206_session2.csv,2,331,2000000,1T,1,1,0.0001731027326184711,0.01174261172604635,t,False,True
reduction_amd_20260722_174206_session2.csv,2,361,2000000,32T,32,1,5.309949383106612e-05,0.008122019403142465,t,True,True
reduction_amd_20260722_174206_session2.csv,2,317,2000000,4T,4,7,5.771804340415862e-05,0.005388238495625497,t,True,False
reduction_amd_20260722_174206_session2.csv,2,599,2000000,8T,8,9,4.0055989222173795e-05,0.0045641166144945915,t,True,True
reduction_amd_20260722_174206_session2.csv,2,600,2000000,8T,8,10,4.015120656179419e-05,0.004563218766097396,t,True,True
reduction_amd_20260722_174206_session2.csv,2,242,4000000,16T,16,2,5.126721453728753e-05,0.007694594354550559,t,True,True
reduction_amd_20260722_174206_session2.csv,2,244,4000000,16T,16,4,5.170067888316064e-05,0.007758402123424021,t,False,True
reduction_amd_20260722_174206_session2.csv,2,801,4000000,2T,2,1,0.0001935136921624174,0.015430999055712935,t,False,True
reduction_amd_20260722_174206_session2.csv,2,69,4000000,64T,64,9,1.2741753297129556e-05,0.00344760297905353,t,True,True
reduction_amd_20260722_174206_session2.csv,2,531,8000000,10T,10,1,9.126583432060512e-05,0.012927970017315228,t,True,False
