session_number,problem_size,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,total_energy_per_op_j,package_energy_per_op_j,dram_energy_per_op_j,total_avg_power_w,package_avg_power_w,dram_avg_power_w,edp_total_j_s,edp_package_j_s,throughput_gflops_exact,total_efficiency_gflop_per_j,package_efficiency_gflop_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches
1,2048,4,0.03751074074074075,0.03751074074074075,4.764901592592592,4.764901592592592,,127.00149254085176,127.00149254085176,,0.17855962068385736,0.17855962068385736,457.99882258486866,3.6055049735371556,3.6055049735371556,87.0,1921.5,1902.5,-0.07878151260504201,27.0
1,2048,8,0.021983413043478263,0.021983413043478263,3.831649,3.831649,,174.21093459930347,174.21093459930347,,0.08423220746961649,0.08423220746961649,781.4926082085351,4.483675364329843,4.483675364329843,82.5,2071.5,2052.0,-0.12172564419971257,46.0
1,2048,10,0.020997551020408164,0.020997551020408164,3.9740416938775507,3.9740416938775507,,189.33635163080686,189.33635163080686,,0.08344010242995295,0.08344010242995295,818.1925675802676,4.323028207095412,4.323028207095412,84.0,2130.0,2112.5,-0.8407866151285163,49.0
1,2048,16,0.012070097701149425,0.012070097701149425,3.169987,3.169987,,262.4099605421419,262.4099605421419,,0.03824092786360775,0.03824092786360775,1423.3413522715618,5.419539328389304,5.419539328389304,89.0,2343.0,2320.0,-0.8922575512051271,87.0
1,2048,20,0.01236529268292683,0.01236529268292683,3.38699075,3.38699075,,273.7433155413838,273.7433155413838,,0.04186541187399903,0.04186541187399903,1389.3623829592493,5.072310686158895,5.072310686158895,83.0,2469.5,2469.5,0.10119000494845104,82.0
1,2048,32,0.008229995901639343,0.008229995901639343,2.361941340163934,2.361941340163934,,286.99171498416933,286.99171498416933,,0.019439968190420785,0.019439968190420785,2087.4699720141834,7.273622375411131,7.273622375411131,70.0,2879.0,2798.5,-2.8654964833694794,122.0
1,2048,64,0.008435705882352942,0.008435705882352942,1.9985477773109244,1.9985477773109244,,236.7445798640632,236.7445798640632,,0.016859161614621358,0.016859161614621358,2036.5657352205467,8.596176569825765,8.596176569825765,69.0,3624.5,3606.0,-0.46902260790134737,119.0
1,4096,1,1.0807069999999999,1.0807069999999999,84.13712050000001,84.13712050000001,,77.90013844091658,77.90013844091658,,90.989984447827,90.989984447827,127.17503772242387,1.633511650278256,1.633511650278256,78.0,1795.0,1794.5,0.0,1.0
1,4096,2,0.540837,0.540837,53.36561025,53.36561025,,98.56378373405332,98.56378373405332,,28.8507463501005,28.8507463501005,254.1227275601181,2.575425440733543,2.575425440733543,81.0,1834.0,1834.0,-0.027262813522355506,2.0
1,4096,4,0.29352737500000003,0.29352737500000003,37.771526125,37.771526125,,128.596005132965,128.596005132965,,11.08954022596203,11.08954022596203,468.23214870212075,3.638692892513784,3.638692892513784,91.0,1902.0,1902.0,-0.10516629965633228,4.0
1,4096,8,0.15223764285714286,0.15223764285714286,28.589996857142857,28.589996857142857,,187.7171025721674,187.7171025721674,,4.354635326882184,4.354635326882184,902.792183944199,4.807240588983639,4.807240588983639,89.5,2082.0,2047.0,-0.8436016429295354,7.0
1,4096,10,0.1342165625,0.1342165625,27.8215830625,27.8215830625,,207.58568259254344,207.58568259254344,,3.737903466246906,3.737903466246906,1024.0091067014362,4.94001261916354,4.94001261916354,82.0,2137.0,2117.0,-0.8854831338740925,8.0
