source_file,session_number,sequence_index,repetition,problem_size,num_threads,runtime_per_op_s,total_energy_per_op_j,package_energy_per_op_j,dram_energy_per_op_j,total_avg_power_w,temp_c,runtime_outlier,total_energy_outlier,package_energy_outlier
strided_gemm_amd_20260719_175453_session3.csv,3,806,6,64,1,6.117724932581515e-06,0.00043906316499141946,0.00043906316499141946,,71.76902685720239,70,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,752,2,64,2,6.179193459885696e-06,0.0004429384274872225,0.0004429384274872225,,71.68223982024607,78,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,508,8,64,4,6.2537617266539954e-06,0.00044544809001164997,0.00044544809001164997,,71.22882346366303,68,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,509,9,64,4,6.111098166656447e-06,0.0004362728983996566,0.0004362728983996566,,71.3902618648906,68,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,202,2,64,8,6.4200852870523825e-06,0.0004669579896091321,0.0004669579896091321,,72.73392310704394,78,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,203,3,64,8,6.48498165769725e-06,0.00046813570200430777,0.00046813570200430777,,72.18766786312514,76,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,352,2,64,10,6.21523954802955e-06,0.0004458188673674628,0.0004458188673674628,,71.72995729646544,71,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,353,3,64,10,6.227067789416707e-06,0.00044752667351470376,0.00044752667351470376,,71.8679623618846,71,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,601,1,64,16,6.187432158341655e-06,0.00044878835263396206,0.00044878835263396206,,72.53224619665899,74,False,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,602,2,64,16,6.1886726915228166e-06,0.000448608252026721,0.000448608252026721,,72.48860529354222,74,False,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,799,9,64,20,6.134118195880085e-06,0.0004396917184315844,0.0004396917184315844,,71.67969452021623,69,False,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,512,2,64,32,6.189870155371738e-06,0.0004411943312633465,0.0004411943312633465,,71.27683136947,68,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,515,5,64,32,6.142945681254756e-06,0.0004416227755823372,0.0004416227755823372,,71.89104356399444,69,False,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,1,1,128,1,4.031965853461181e-05,0.0029961953716065868,0.0029961953716065868,,74.31103041298198,78,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,7,7,128,1,4.033600356030263e-05,0.0030013894080996887,0.0030013894080996887,,74.4096872069289,75,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,781,1,256,1,0.000283629219858156,0.021277386950354613,0.021277386950354613,,75.0183177917829,74,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,611,1,256,2,0.00015537183667132433,0.014346985250737462,0.014346985250737462,,92.33967724206843,74,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,385,5,256,4,8.835421771088554e-05,0.010546782726636332,0.010546782726636332,,119.36931818181819,85,False,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,461,1,256,10,9.844121402612709e-05,0.013934835772517435,0.013934835772517435,,141.55489558285026,71,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,90,10,256,16,6.648910618191364e-05,0.01176483114581966,0.01176483114581966,,176.94374043217218,71,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,408,8,256,20,9.380892310546332e-05,0.01769164177720063,0.01769164177720063,,188.59231287956538,70,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,443,3,512,2,0.0011526027397260274,0.1085251894977169,0.1085251894977169,,94.15662982331037,80,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,427,7,512,4,0.0006367996277915633,0.07962690198511166,0.07962690198511166,,125.04231866664198,87,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,130,10,512,8,0.000534915649867374,0.07863941644562333,0.07863941644562333,,147.0127420372185,74,True,False,False
strided_gemm_amd_20260719_175453_session3.csv,3,626,6,512,10,0.0005258849922640536,0.08296522124806602,0.08296522124806602,,157.76305174802957,73,True,True,True
strided_gemm_amd_20260719_175453_session3.csv,3,627,7,512,10,0.0005262743682310469,0.08293708200103146,0.08293708200103146,,157.5928584168099,73,True,True,True
