STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[STREAM] N=128000000 threads=10 rep=1 batches=18 time=1.034 s | package=121.561 J | dram=2.119234 | total=123.680 J | power=119.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=2 batches=18 time=1.034 s | package=121.032 J | dram=2.115516 | total=123.147 J | power=119.1 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=3 batches=18 time=1.034 s | package=120.668 J | dram=2.096131 | total=122.765 J | power=118.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=4 batches=18 time=1.034 s | package=122.043 J | dram=2.087991 | total=124.131 J | power=120.1 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=5 batches=18 time=1.034 s | package=122.004 J | dram=2.093453 | total=124.098 J | power=120.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=6 batches=18 time=1.034 s | package=121.311 J | dram=2.128735 | total=123.440 J | power=119.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=7 batches=18 time=1.034 s | package=120.917 J | dram=2.110681 | total=123.028 J | power=119.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=8 batches=18 time=1.034 s | package=121.330 J | dram=2.102450 | total=123.432 J | power=119.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=9 batches=18 time=1.034 s | package=121.309 J | dram=2.086093 | total=123.395 J | power=119.3 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=10 batches=18 time=1.034 s | package=122.691 J | dram=2.071605 | total=124.762 J | power=120.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=8 active=8
[STREAM] N=2000000 threads=8 rep=1 batches=3302 time=1.011 s | package=114.261 J | dram=1.904880 | total=116.166 J | power=114.9 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=2 batches=3302 time=1.005 s | package=113.941 J | dram=1.884057 | total=115.825 J | power=115.2 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=3 batches=3302 time=1.013 s | package=114.557 J | dram=1.932543 | total=116.490 J | power=115.0 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=4 batches=3302 time=1.012 s | package=114.553 J | dram=1.929360 | total=116.482 J | power=115.1 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=5 batches=3302 time=1.008 s | package=114.256 J | dram=1.929514 | total=116.185 J | power=115.2 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=6 batches=3302 time=1.012 s | package=114.604 J | dram=1.920946 | total=116.525 J | power=115.1 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=7 batches=3302 time=1.013 s | package=114.705 J | dram=1.930937 | total=116.636 J | power=115.2 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=8 batches=3302 time=1.011 s | package=114.649 J | dram=1.941524 | total=116.591 J | power=115.3 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=9 batches=3302 time=1.005 s | package=114.125 J | dram=1.964979 | total=116.090 J | power=115.5 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=8 rep=10 batches=3302 time=1.003 s | package=113.943 J | dram=1.941340 | total=115.885 J | power=115.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=2 active=2
[STREAM] N=8000000 threads=2 rep=1 batches=266 time=1.004 s | package=62.178 J | dram=1.583228 | total=63.762 J | power=63.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=2 batches=266 time=1.004 s | package=61.832 J | dram=1.562849 | total=63.395 J | power=63.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=3 batches=266 time=1.004 s | package=61.132 J | dram=1.572396 | total=62.704 J | power=62.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=4 batches=266 time=1.002 s | package=61.190 J | dram=1.552889 | total=62.743 J | power=62.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=5 batches=266 time=1.001 s | package=61.579 J | dram=1.558229 | total=63.137 J | power=63.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=6 batches=266 time=1.001 s | package=60.795 J | dram=1.546157 | total=62.341 J | power=62.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=7 batches=266 time=1.003 s | package=60.975 J | dram=1.558030 | total=62.533 J | power=62.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=8 batches=266 time=1.002 s | package=61.397 J | dram=1.565267 | total=62.962 J | power=62.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=9 batches=266 time=1.002 s | package=60.764 J | dram=1.569581 | total=62.333 J | power=62.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=10 batches=266 time=1.002 s | package=61.046 J | dram=1.563124 | total=62.609 J | power=62.5 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=8000000 threads=16 rep=1 batches=304 time=1.001 s | package=115.301 J | dram=2.370429 | total=117.672 J | power=117.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=2 batches=304 time=1.001 s | package=115.655 J | dram=2.334107 | total=117.989 J | power=117.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=3 batches=304 time=1.002 s | package=115.961 J | dram=2.354104 | total=118.315 J | power=118.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=4 batches=304 time=1.001 s | package=115.904 J | dram=2.367767 | total=118.272 J | power=118.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=5 batches=304 time=1.001 s | package=115.923 J | dram=2.353660 | total=118.277 J | power=118.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=6 batches=304 time=1.002 s | package=116.374 J | dram=2.353752 | total=118.728 J | power=118.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=7 batches=304 time=1.001 s | package=116.125 J | dram=2.304609 | total=118.429 J | power=118.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=8 batches=304 time=1.001 s | package=116.396 J | dram=2.325692 | total=118.721 J | power=118.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=9 batches=304 time=1.001 s | package=116.043 J | dram=2.333387 | total=118.376 J | power=118.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=16 rep=10 batches=304 time=1.002 s | package=116.560 J | dram=2.327940 | total=118.888 J | power=118.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=1 active=1
[STREAM] N=1000000 threads=1 rep=1 batches=2137 time=0.999 s | package=47.012 J | dram=0.002479 | total=47.015 J | power=47.1 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=2 batches=2137 time=1.001 s | package=47.370 J | dram=0.002004 | total=47.372 J | power=47.3 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=3 batches=2137 time=1.001 s | package=47.342 J | dram=0.001790 | total=47.344 J | power=47.3 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=4 batches=2137 time=1.000 s | package=47.248 J | dram=0.001821 | total=47.250 J | power=47.2 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=5 batches=2137 time=1.000 s | package=47.379 J | dram=0.001178 | total=47.381 J | power=47.4 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=1 rep=6 batches=2137 time=1.001 s | package=48.550 J | dram=0.002402 | total=48.553 J | power=48.5 W | runtime=in_range | checksum=OK
