source_file,session_number,sequence_index,problem_size,configuration,num_threads,repetition,runtime_per_op_s,primary_energy_per_op_j,checksum_ok,runtime_outlier,energy_outlier
stream_intel_20260720_234432_session2.csv,2,259,128000000,4T,4,9,0.05704138888888889,4.351900611111111,t,True,False
stream_intel_20260720_234432_session2.csv,2,260,128000000,4T,4,10,0.057064333333333335,4.351876888888889,t,True,False
stream_intel_20260720_234432_session2.csv,2,561,256000000,10T,10,1,0.11632922222222224,13.456664444444444,t,True,False
stream_intel_20260720_234432_session2.csv,2,570,256000000,10T,10,10,0.11649866666666668,13.525783222222223,t,True,False
stream_intel_20260720_234432_session2.csv,2,414,256000000,1T,1,4,0.20019979999999998,9.5077516,t,False,True
stream_intel_20260720_234432_session2.csv,2,415,256000000,1T,1,5,0.200155,9.5239136,t,False,True
stream_intel_20260720_234432_session2.csv,2,44,256000000,4T,4,4,0.11600955555555556,8.726845333333333,t,True,False
stream_intel_20260720_234432_session3.csv,3,590,1000000,16T,16,10,6.714131382943031e-05,0.008904217271690263,t,False,True
stream_intel_20260720_234432_session3.csv,3,101,1000000,1T,1,1,0.00046739588207767897,0.021999133364529716,t,True,False
stream_intel_20260720_234432_session3.csv,3,106,1000000,1T,1,6,0.0004682428638277959,0.022718814693495553,t,False,True
stream_intel_20260720_234432_session3.csv,3,107,1000000,1T,1,7,0.000468293401965372,0.0226086265793168,t,False,True
stream_intel_20260720_234432_session3.csv,3,430,1000000,20T,20,10,5.443071443988776e-05,0.008054265109000647,t,False,True
stream_intel_20260720_234432_session3.csv,3,203,1000000,2T,2,3,0.00026258217196949775,0.016393490665264264,t,False,True
stream_intel_20260720_234432_session3.csv,3,207,1000000,2T,2,7,0.00026434236129371547,0.016596962135156455,t,True,False
stream_intel_20260720_234432_session3.csv,3,210,1000000,2T,2,10,0.0002620565343150145,0.016788011306863002,t,False,True
stream_intel_20260720_234432_session3.csv,3,466,1000000,4T,4,6,0.00012725861635220126,0.01157926075471698,t,True,False
stream_intel_20260720_234432_session3.csv,3,248,1000000,8T,8,8,7.280571884752159e-05,0.00959385245663691,t,True,False
stream_intel_20260720_234432_session3.csv,3,250,1000000,8T,8,10,7.228652296973656e-05,0.009636712896436606,t,False,True
stream_intel_20260720_234432_session3.csv,3,376,2000000,1T,1,6,0.0010993329682365829,0.05068746221248631,t,True,False
stream_intel_20260720_234432_session3.csv,3,31,2000000,20T,20,1,0.00023392768546688511,0.03146770629534285,t,False,True
stream_intel_20260720_234432_session3.csv,3,35,2000000,20T,20,5,0.00023455043295108824,0.03164446922536859,t,True,False
stream_intel_20260720_234432_session3.csv,3,38,2000000,20T,20,8,0.00023432085186051954,0.03165481090568687,t,True,False
stream_intel_20260720_234432_session3.csv,3,211,2000000,2T,2,1,0.0006157742134484886,0.038729587908698335,t,True,False
stream_intel_20260720_234432_session3.csv,3,216,2000000,2T,2,6,0.0006157890191239976,0.03863218075262184,t,True,False
stream_intel_20260720_234432_session3.csv,3,334,4000000,1T,1,4,0.0026531055408970977,0.13011824538258576,t,True,True
stream_intel_20260720_234432_session3.csv,3,338,4000000,1T,1,8,0.002643717678100264,0.12271674670184697,t,False,True
stream_intel_20260720_234432_session3.csv,3,339,4000000,1T,1,9,0.0026412480211081796,0.12167335092348285,t,False,True
stream_intel_20260720_234432_session3.csv,3,340,4000000,1T,1,10,0.0026431873350923484,0.1220675857519789,t,False,True
stream_intel_20260720_234432_session3.csv,3,142,4000000,20T,20,2,0.0013878506849315068,0.1645517808219178,t,True,False
stream_intel_20260720_234432_session3.csv,3,148,4000000,20T,20,8,0.0013717602739726027,0.16177351780821916,t,True,False
stream_intel_20260720_234432_session3.csv,3,622,4000000,2T,2,2,0.0017268921568627453,0.1295369133986928,t,False,True
stream_intel_20260720_234432_session3.csv,3,623,4000000,2T,2,3,0.00172115522875817,0.11798284967320262,t,False,True
stream_intel_20260720_234432_session3.csv,3,624,4000000,2T,2,4,0.0016913529411764704,0.11582897222222223,t,False,True
stream_intel_20260720_234432_session3.csv,3,625,4000000,2T,2,5,0.0017406062091503266,0.12514050000000002,t,True,True
stream_intel_20260720_234432_session3.csv,3,263,4000000,4T,4,3,0.0013559462365591397,0.1046028319892473,t,True,False
stream_intel_20260720_234432_session3.csv,3,391,8000000,10T,10,1,0.003218215434083601,0.37164035048231514,t,False,True
stream_intel_20260720_234432_session3.csv,3,93,8000000,16T,16,3,0.0032953421052631577,0.38144967763157894,t,True,False
stream_intel_20260720_234432_session3.csv,3,96,8000000,16T,16,6,0.003297276315789474,0.38281031578947367,t,True,False
stream_intel_20260720_234432_session3.csv,3,100,8000000,16T,16,10,0.0032968717105263156,0.3834206644736842,t,True,False
stream_intel_20260720_234432_session3.csv,3,597,8000000,20T,20,7,0.003515895104895105,0.42113979370629373,t,True,False
stream_intel_20260720_234432_session3.csv,3,598,8000000,20T,20,8,0.0035155664335664335,0.4210683006993007,t,True,False
stream_intel_20260720_234432_session3.csv,3,286,8000000,4T,4,6,0.0031885047619047615,0.24744829206349206,t,False,True
stream_intel_20260720_234432_session3.csv,3,419,8000000,8T,8,9,0.003103111455108359,0.32182565015479875,t,True,False
stream_intel_20260720_234432_session3.csv,3,420,8000000,8T,8,10,0.0031099226006191948,0.3217419411764706,t,True,False
stream_intel_20260720_234432_session3.csv,3,310,16000000,1T,1,10,0.012702455696202533,0.6027353037974684,t,True,False
stream_intel_20260720_234432_session3.csv,3,59,16000000,2T,2,9,0.007966309523809523,0.4695776190476191,t,False,True
stream_intel_20260720_234432_session3.csv,3,479,16000000,8T,8,9,0.006760919463087248,0.7230181476510067,t,False,True
stream_intel_20260720_234432_session3.csv,3,151,32000000,10T,10,1,0.014245647887323944,1.6921154225352113,t,True,False
stream_intel_20260720_234432_session3.csv,3,401,32000000,1T,1,1,0.025289650000000004,1.13218095,t,False,True
stream_intel_20260720_234432_session3.csv,3,513,32000000,20T,20,3,0.015050477611940297,1.8250922537313434,t,False,True
stream_intel_20260720_234432_session3.csv,3,519,32000000,20T,20,9,0.015055820895522388,1.8196756268656717,t,True,False
stream_intel_20260720_234432_session3.csv,3,531,32000000,2T,2,1,0.016251306451612903,0.9955970161290323,t,True,False
stream_intel_20260720_234432_session3.csv,3,532,32000000,2T,2,2,0.016375693548387096,0.9873513870967742,t,True,False
stream_intel_20260720_234432_session3.csv,3,533,32000000,2T,2,3,0.016261854838709677,0.9896352741935485,t,True,False
stream_intel_20260720_234432_session3.csv,3,534,32000000,2T,2,4,0.01625817741935484,0.9987255483870967,t,True,False
stream_intel_20260720_234432_session3.csv,3,526,32000000,8T,8,6,0.013909833333333335,1.4758568194444444,t,True,False
stream_intel_20260720_234432_session3.csv,3,185,64000000,1T,1,5,0.05047765,2.3421113,t,True,False
stream_intel_20260720_234432_session3.csv,3,6,64000000,20T,20,6,0.029630470588235293,3.586895882352941,t,True,False
stream_intel_20260720_234432_session3.csv,3,8,64000000,20T,20,8,0.029631970588235294,3.5615950882352942,t,True,False
stream_intel_20260720_234432_session3.csv,3,561,64000000,8T,8,1,0.028182194444444444,2.976678638888889,t,False,True
stream_intel_20260720_234432_session3.csv,3,575,128000000,16T,16,5,0.057654833333333336,6.3176989444444445,t,True,False
stream_intel_20260720_234432_session3.csv,3,193,128000000,4T,4,3,0.05671511111111111,4.437522555555556,t,True,False
stream_intel_20260720_234432_session3.csv,3,546,256000000,10T,10,6,0.11632088888888889,13.632133444444444,t,True,False
stream_intel_20260720_234432_session3.csv,3,549,256000000,10T,10,9,0.11640033333333334,13.80437411111111,t,False,True
stream_intel_20260720_234432_session3.csv,3,321,256000000,1T,1,1,0.2007664,9.3997806,t,False,True
stream_intel_20260720_234432_session3.csv,3,41,256000000,2T,2,1,0.134344875,8.10595925,t,True,False
stream_intel_20260720_234432_session3.csv,3,224,256000000,4T,4,4,0.11650111111111111,8.797401777777777,t,True,False
stream_intel_20260720_234432_session3.csv,3,225,256000000,4T,4,5,0.11646588888888888,8.877513666666665,t,True,False
stream_intel_20260720_234432_session3.csv,3,227,256000000,4T,4,7,0.11643211111111113,8.836708333333334,t,True,False
stream_intel_20260720_234432_session4.csv,4,129,1000000,10T,10,9,5.7339085714285714e-05,0.008487373657142859,t,True,False
stream_intel_20260720_234432_session4.csv,4,511,1000000,16T,16,1,6.850912458836444e-05,0.008927691959385291,t,False,True
stream_intel_20260720_234432_session4.csv,4,341,1000000,1T,1,1,0.000469128277153558,0.02232620880149813,t,False,True
stream_intel_20260720_234432_session4.csv,4,350,1000000,1T,1,10,0.00046871348314606737,0.02210612827715356,t,False,True
stream_intel_20260720_234432_session4.csv,4,451,1000000,2T,2,1,0.0002608462745098039,0.016244181960784313,t,True,False
stream_intel_20260720_234432_session4.csv,4,460,1000000,2T,2,10,0.00026281071895424833,0.016397543529411765,t,True,False
stream_intel_20260720_234432_session4.csv,4,471,1000000,4T,4,1,0.0001263379301619433,0.011522055035425102,t,True,False
stream_intel_20260720_234432_session4.csv,4,361,1000000,8T,8,1,7.559327401598553e-05,0.01009666264515156,t,False,True
stream_intel_20260720_234432_session4.csv,4,239,2000000,10T,10,9,0.00024408424110384898,0.03244093730331639,t,True,False
stream_intel_20260720_234432_session4.csv,4,51,2000000,1T,1,1,0.001109522172949002,0.05270785033259424,t,True,False
stream_intel_20260720_234432_session4.csv,4,59,2000000,1T,1,9,0.0011115166297117516,0.05477140133037694,t,False,True
stream_intel_20260720_234432_session4.csv,4,503,2000000,2T,2,3,0.0006063077858880779,0.03813807603406326,t,False,True
stream_intel_20260720_234432_session4.csv,4,227,4000000,10T,10,7,0.0013384205607476637,0.15793853271028038,t,True,False
stream_intel_20260720_234432_session4.csv,4,401,4000000,4T,4,1,0.0013380348058902275,0.10191856358768407,t,False,True
stream_intel_20260720_234432_session4.csv,4,586,8000000,16T,16,6,0.003255789644012945,0.3648089579288026,t,True,False
stream_intel_20260720_234432_session4.csv,4,534,8000000,1T,1,4,0.0058455204678362575,0.27252877192982455,t,False,True
stream_intel_20260720_234432_session4.csv,4,535,8000000,1T,1,5,0.005860327485380117,0.28127854970760235,t,True,False
stream_intel_20260720_234432_session4.csv,4,112,8000000,4T,4,2,0.0031497350157728707,0.2468334353312303,t,False,True
stream_intel_20260720_234432_session4.csv,4,181,8000000,8T,8,1,0.0031563009404388716,0.33093923197492164,t,True,False
stream_intel_20260720_234432_session4.csv,4,182,8000000,8T,8,2,0.0031454608150470217,0.33047678056426333,t,True,False
stream_intel_20260720_234432_session4.csv,4,188,8000000,8T,8,8,0.0031315297805642635,0.3324017774294671,t,True,True
stream_intel_20260720_234432_session4.csv,4,190,8000000,8T,8,10,0.0031251253918495297,0.3323313636363636,t,False,True
stream_intel_20260720_234432_session4.csv,4,481,16000000,10T,10,1,0.00693416551724138,0.820413951724138,t,True,False
stream_intel_20260720_234432_session4.csv,4,483,16000000,10T,10,3,0.006954524137931034,0.8188826,t,True,False
stream_intel_20260720_234432_session4.csv,4,13,16000000,20T,20,3,0.007409183823529412,0.898352625,t,True,False
stream_intel_20260720_234432_session4.csv,4,621,16000000,2T,2,1,0.008220422764227643,0.4924293902439024,t,True,False
stream_intel_20260720_234432_session4.csv,4,622,16000000,2T,2,2,0.00817758536585366,0.49789624390243903,t,True,False
stream_intel_20260720_234432_session4.csv,4,623,16000000,2T,2,3,0.008182634146341464,0.49334540650406505,t,True,False
stream_intel_20260720_234432_session4.csv,4,192,16000000,4T,4,2,0.006737637583892618,0.516435154362416,t,False,True
stream_intel_20260720_234432_session4.csv,4,194,16000000,4T,4,4,0.006734570469798658,0.5107871677852349,t,False,True
stream_intel_20260720_234432_session4.csv,4,199,16000000,4T,4,9,0.006744093959731543,0.5168705973154362,t,False,True
stream_intel_20260720_234432_session4.csv,4,21,32000000,4T,4,1,0.013867849315068494,1.0782434794520548,t,True,False
stream_intel_20260720_234432_session4.csv,4,22,32000000,4T,4,2,0.013892369863013699,1.082284315068493,t,True,False
stream_intel_20260720_234432_session4.csv,4,23,32000000,4T,4,3,0.01380850684931507,1.072587287671233,t,True,False
stream_intel_20260720_234432_session4.csv,4,359,32000000,8T,8,9,0.013918383561643833,1.4910189999999999,t,True,False
stream_intel_20260720_234432_session4.csv,4,360,32000000,8T,8,10,0.01395458904109589,1.4934762739726029,t,True,False
stream_intel_20260720_234432_session4.csv,4,62,64000000,16T,16,2,0.02887217142857143,3.4661514857142857,t,True,False
stream_intel_20260720_234432_session4.csv,4,212,64000000,20T,20,2,0.029636176470588235,3.625179205882353,t,True,False
stream_intel_20260720_234432_session4.csv,4,219,64000000,20T,20,9,0.029638029411764705,3.6141875,t,True,False
stream_intel_20260720_234432_session4.csv,4,416,64000000,4T,4,6,0.02801425,2.1434440833333337,t,False,True
stream_intel_20260720_234432_session4.csv,4,7,128000000,10T,10,7,0.05752622222222222,6.826751166666667,t,False,True
stream_intel_20260720_234432_session4.csv,4,8,128000000,10T,10,8,0.05750755555555556,6.966833333333334,t,False,True
stream_intel_20260720_234432_session4.csv,4,470,128000000,16T,16,10,0.05755922222222222,6.327088166666666,t,False,True
stream_intel_20260720_234432_session4.csv,4,619,128000000,1T,1,9,0.1006624,4.8473996999999995,t,False,True
stream_intel_20260720_234432_session4.csv,4,602,128000000,20T,20,2,0.05922570588235294,7.190124058823529,t,True,False
stream_intel_20260720_234432_session4.csv,4,96,128000000,2T,2,6,0.0657361875,3.885755125,t,False,True
stream_intel_20260720_234432_session4.csv,4,97,128000000,2T,2,7,0.06575875,3.8782249375,t,False,True
stream_intel_20260720_234432_session4.csv,4,81,128000000,4T,4,1,0.056801277777777784,4.421317722222223,t,True,True
stream_intel_20260720_234432_session4.csv,4,82,128000000,4T,4,2,0.056974833333333336,4.658398055555555,t,True,True
stream_intel_20260720_234432_session4.csv,4,572,128000000,8T,8,2,0.057027166666666664,6.055045,t,False,True
stream_intel_20260720_234432_session4.csv,4,337,256000000,1T,1,7,0.2013198,9.5837278,t,True,False
stream_intel_20260720_234432_session4.csv,4,138,256000000,2T,2,8,0.134473375,8.33303225,t,True,False
stream_intel_20260720_234432_session4.csv,4,139,256000000,2T,2,9,0.134772875,8.215524625,t,True,False
stream_intel_20260720_234432_session4.csv,4,140,256000000,2T,2,10,0.134895375,8.18335925,t,True,False
stream_intel_20260720_234432_session4.csv,4,313,256000000,4T,4,3,0.11775011111111112,10.310995222222223,t,False,True
stream_intel_20260720_234432_session4.csv,4,314,256000000,4T,4,4,0.11730144444444443,10.651326333333333,t,False,True
stream_intel_20260720_234432_session4.csv,4,315,256000000,4T,4,5,0.11790733333333334,9.956849777777778,t,True,True
stream_intel_20260720_234432_session5.csv,5,198,1000000,16T,16,8,0.00011296652061566115,0.014147249297831704,t,False,True
stream_intel_20260720_234432_session5.csv,5,621,1000000,1T,1,1,0.00046953755868544606,0.022897408920187795,t,False,True
stream_intel_20260720_234432_session5.csv,5,622,1000000,1T,1,2,0.00046978826291079807,0.02283880985915493,t,False,True
stream_intel_20260720_234432_session5.csv,5,231,1000000,20T,20,1,7.246032206586392e-05,0.010403638473814016,t,False,True
stream_intel_20260720_234432_session5.csv,5,161,1000000,2T,2,1,0.00026985483870967743,0.017150096505376345,t,True,False
stream_intel_20260720_234432_session5.csv,5,561,1000000,4T,4,1,0.00012430082007952286,0.011299263667992047,t,True,True
