problem_size,objective,platform_a,platform_b,a_over_b,b_over_a
2,runtime,5060ti,INTEL,0.2468594971805269,4.050887291845635
2,throughput,AMD,INTEL,2.038972941747381,0.4904429968271227
2,throughput,3090,AMD,4.002591044878497,0.24983816452583804
2,throughput,3090,INTEL,8.161174837387634,0.12253137813183976
2,throughput,3090,5060ti,2.0146638496666043,0.4963607205070387
2,throughput,5060ti,AMD,1.9867289749309118,0.5033399183372633
2,throughput,5060ti,INTEL,4.0508866224696405,0.24685953797204663
3,edp,AMD,INTEL,0.4340098484741839,2.304095180133874
3,edp,3090,AMD,0.05261348855148907,19.00653287837721
3,edp,3090,INTEL,0.02283477219392998,43.792860796124934
3,edp,3090,5060ti,0.46828174550711343,2.13546654251294
3,edp,5060ti,AMD,0.11235434448659251,8.90041239232482
3,edp,5060ti,INTEL,0.048762892026042275,20.50739729435942
3,energy,AMD,INTEL,0.8357425694809636,1.1965407010690483
3,energy,3090,AMD,0.2619220013175548,3.817930509730635
3,energy,3090,INTEL,0.21889936638472957,4.5683092487460035
3,energy,3090,5060ti,0.9312308075248675,1.0738476346781471
3,energy,5060ti,AMD,0.28126432158502274,3.5553745116502884
3,energy,5060ti,INTEL,0.23506456682478696,4.254150310733062
3,energy_efficiency,AMD,INTEL,1.196540685287762,0.8357425805036499
3,energy_efficiency,3090,AMD,3.817930546144857,0.261921998819425
3,energy_efficiency,3090,INTEL,4.568309232065247,0.21889936718402023
3,energy_efficiency,3090,5060ti,1.0738472955659342,0.9312311015999575
3,energy_efficiency,5060ti,AMD,3.5553756683186024,0.2812642300814634
3,energy_efficiency,5060ti,INTEL,4.254151638625376,0.23506449345165453
3,runtime,AMD,INTEL,0.515584697396676,1.9395455393638825
3,runtime,3090,AMD,0.2060042698215208,4.854268316216872
3,runtime,3090,INTEL,0.106212649118352,9.415074459593857
3,runtime,3090,5060ti,0.5031197513519378,1.9875983745676666
3,runtime,5060ti,AMD,0.4094537518512538,2.4422782682506217
3,runtime,5060ti,INTEL,0.21110808874616235,4.736909921070841
3,throughput,AMD,INTEL,1.9395449407677456,0.5155848565200877
3,throughput,3090,AMD,4.854267190523377,0.20600431759344134
3,throughput,3090,INTEL,9.415069370514473,0.10621270652893303
3,throughput,3090,5060ti,1.9875983168464566,0.5031197659628782
3,throughput,5060ti,AMD,2.4422777728173997,0.40945383491182696
3,throughput,5060ti,INTEL,4.736907498217505,0.21110819672461395
4,edp,AMD,INTEL,0.32913033840903555,3.038310004583118
4,edp,3090,AMD,0.08823336789525853,11.333580751299168
4,edp,3090,INTEL,0.029040278234335373,34.43493178442291
4,edp,3090,5060ti,0.7369718504578792,1.3569039297480656
4,edp,5060ti,AMD,0.1197242036319831,8.35252997859875
4,edp,5060ti,INTEL,0.03940486765714688,25.377575397556992
4,energy,AMD,INTEL,0.706876971622662,1.4146733309255546
4,energy,3090,AMD,0.344884836098522,2.89951860833433
4,energy,3090,INTEL,0.24379114849990138,4.101871647732955
4,energy,3090,5060ti,1.162260041457995,0.8603926525302822
4,energy,5060ti,AMD,0.296736378948279,3.369994617930886
4,energy,5060ti,INTEL,0.20975611292123406,4.767441511349478
4,energy_efficiency,AMD,INTEL,1.414675541339796,0.7068758671355345
4,energy_efficiency,3090,AMD,2.8995163541937186,0.3448851042187256
4,energy_efficiency,3090,INTEL,4.10187486799259,0.24379095710674087
4,energy_efficiency,3090,5060ti,0.8603933280427261,1.1622591289438047
4,energy_efficiency,5060ti,AMD,3.3699893521835076,0.2967368426111118
4,energy_efficiency,5060ti,INTEL,4.767441511109553,0.20975611293179025
4,runtime,AMD,INTEL,0.4658676512975694,2.146532383638841
4,runtime,3090,AMD,0.26384336751352033,3.7901274889874053
4,runtime,3090,INTEL,0.12291608993396515,8.135631393231229
4,runtime,3090,5060ti,0.6319336495060364,1.5824446138952564
4,runtime,5060ti,AMD,0.4175175158337569,2.395109096208961
4,runtime,5060ti,INTEL,0.1945079044770681,5.1411792373604905
4,throughput,AMD,INTEL,2.146532352226058,0.46586765811516956
4,throughput,3090,AMD,3.7901268594820996,0.26384341133548356
4,throughput,3090,INTEL,8.135629922919273,0.1229161121479791
4,throughput,3090,5060ti,1.5824446121380897,0.6319336502077435
4,throughput,5060ti,AMD,2.3951087010629344,0.4175175847159697
4,throughput,5060ti,INTEL,5.14117831392972,0.19450793941353073
5,edp,AMD,INTEL,0.33264271824939895,3.0062284401194974
5,edp,3090,AMD,0.035146366093912806,28.452443627541783
5,edp,3090,INTEL,0.011691182754067666,85.53454522401287
5,edp,3090,5060ti,0.38557657640130055,2.593518541331773
5,edp,5060ti,AMD,0.09115275212499722,10.970595804158561
5,edp,5060ti,INTEL,0.030321299242772753,32.980117111517096
5,energy,AMD,INTEL,0.7329883037265492,1.3642782496200143
5,energy,3090,AMD,0.21375014750406043,4.678359344669008
5,energy,3090,INTEL,0.15667635804030094,6.3825838978384715
5,energy,3090,5060ti,0.8525036744944534,1.1730154718605923
5,energy,5060ti,AMD,0.25073223013474666,3.9883185319357923
5,energy,5060ti,INTEL,0.18378379205604273,5.441176225676428
5,energy_efficiency,AMD,INTEL,1.3642780436722746,0.7329884143764898
5,energy_efficiency,3090,AMD,4.678361591646618,0.21375004484166762
5,energy_efficiency,3090,INTEL,6.382585999843156,0.15667630644139754
5,energy_efficiency,3090,5060ti,1.1709100451755563,0.8540365710587686
5,energy_efficiency,5060ti,AMD,3.9954918919029203,0.2502820746618342
5,energy_efficiency,5060ti,INTEL,5.450961861793751,0.1834538610532361
5,runtime,AMD,INTEL,0.4558747826693709,2.193584813234258
5,runtime,3090,AMD,0.16434603818250412,6.084722279033663
5,runtime,3090,INTEL,0.07492121443902121,13.347354384036388
5,runtime,3090,5060ti,0.4512999599428867,2.215821158341235
5,runtime,5060ti,AMD,0.3641614286943491,2.7460349207914825
5,runtime,5060ti,INTEL,0.166012012162604,6.023660498859135
5,throughput,AMD,INTEL,2.1935815880193816,0.45587545294037374
5,throughput,3090,AMD,6.084722244236339,0.16434603912236664
5,throughput,3090,INTEL,13.347334683168805,0.07492132502386528
5,throughput,3090,5060ti,2.215821149925633,0.4512999616569063
5,throughput,5060ti,AMD,2.7460349155167845,0.3641614293938455
5,throughput,5060ti,INTEL,6.023651630735977,0.16601225656833324
6,edp,AMD,INTEL,0.5226559682805949,1.9133044692663617
6,edp,3090,AMD,0.023110462097020237,43.27044590462498
6,edp,3090,INTEL,0.0120788209447301,82.78953753646731
6,edp,3090,5060ti,0.71050316891193,1.407453258134524
6,edp,5060ti,AMD,0.03252689517544556,30.743788935468288
6,edp,5060ti,INTEL,0.01700037589308391,58.8222287724132
6,energy,AMD,INTEL,0.8825713823218944,1.133052827261599
6,energy,3090,AMD,0.17975446171385717,5.56314424946989
6,energy,3090,INTEL,0.15864614375332695,6.303336320325965
6,energy,3090,5060ti,1.1591610206230862,0.8626929151417357
6,energy,5060ti,AMD,0.15507290058566098,6.448579966088971
6,energy,5060ti,INTEL,0.1368629042305525,7.306581762399615
6,energy_efficiency,AMD,INTEL,1.133052867930795,0.8825713506433475
6,energy_efficiency,3090,AMD,5.563148980344577,0.179754308851542
6,energy_efficiency,3090,INTEL,6.3033419069057,0.15864600314706684
6,energy_efficiency,3090,5060ti,0.8626932061000196,1.1591606296758772
6,energy_efficiency,5060ti,AMD,6.448583275036934,0.1550728210134299
6,energy_efficiency,5060ti,INTEL,7.306585773871156,0.1368628290898969
6,runtime,AMD,INTEL,0.5930230865254708,1.686274991179537
6,runtime,3090,AMD,0.1299337194127574,7.696231621164661
6,runtime,3090,INTEL,0.07705369532988786,12.977962909095112
6,runtime,3090,5060ti,0.6137475698527532,1.6293343536006408
6,runtime,5060ti,AMD,0.2117054727303121,4.7235434545137265
6,runtime,5060ti,INTEL,0.12554623287286357,7.965193197096294
6,throughput,AMD,INTEL,1.6862749901221965,0.5930230868973124
6,throughput,3090,AMD,7.696231610659558,0.12993371959011266
6,throughput,3090,INTEL,12.977962883243082,0.07705369548337841
6,throughput,3090,5060ti,1.6293343250828944,0.6137475805949916
6,throughput,5060ti,AMD,4.723543530740998,0.21170546931386627
6,throughput,5060ti,INTEL,7.965193320642042,0.12554623092555323
