platform,campaign,session,path,sha256,bytes
INTEL,20260729_004307,runner,/home/rock/projects/energy/new/INTEL/scripts/02_run_CPU_Intel_CONV2D_only.sh,00e5261adf8bab23972bff55aaffe7f3f4a99f991d495d9a5548782e3b3e7aad,36208
3090,20260729_093014,1,/home/rock/projects/energy/new/3090/runs/CONV2D/conv2d_3090_20260729_093014_session1.csv,22f2cbd8f41ae12abcd901f15717e696b1e89713ce2fee1cc5413da63ee5113f,40569
3090,20260729_093014,2,/home/rock/projects/energy/new/3090/runs/CONV2D/conv2d_3090_20260729_093014_session2.csv,91959372506ea14b5309ce97fa6e3d15f099e0ec4dd1aeb04ac92309ba7af914,40611
3090,20260729_093014,3,/home/rock/projects/energy/new/3090/runs/CONV2D/conv2d_3090_20260729_093014_session3.csv,03454f8d474814646e67fa6fc1ee7cd708380c9881b4577c9695e816dc4994ca,40606
3090,20260729_093014,4,/home/rock/projects/energy/new/3090/runs/CONV2D/conv2d_3090_20260729_093014_session4.csv,ae8f5f293e63bfffd9d4edb3dbad7d26ce54ec80de8fe345a2e2e2585c69e601,40643
3090,20260729_093014,5,/home/rock/projects/energy/new/3090/runs/CONV2D/conv2d_3090_20260729_093014_session5.csv,63667ff93109dfabc3e03198df1387de26a113e34707aebbf7d55e3318ead576,40483
3090,20260729_093014,source,/home/rock/projects/energy/new/3090/scripts/CONV2D/main_conv2d.cu,ff62fd03fd51770b89643988371fad4f318e95534423b1df7f23f408748e2ebb,57784
3090,20260729_093014,runner,/home/rock/projects/energy/new/3090/02_run_GPU_3090_CONV2D_only.sh,a01f39f59d341e53f3a6b97a27a22a71a14628eda2eb39a03c45732713ca696b,21127
5060ti,20260729_100925,1,/home/rock/projects/energy/new/5060ti/runs/CONV2D/conv2d_5060ti_20260729_100925_session1.csv,e4a12f5a79d5451a9f5a5107abc79ac46c45de93fcd117cc4c2089ab180041a5,40326
5060ti,20260729_100925,2,/home/rock/projects/energy/new/5060ti/runs/CONV2D/conv2d_5060ti_20260729_100925_session2.csv,9d1a97b10633d86faad66e679b0b73fe65cdb2bd0604c0f09bbcfc49afcc67e5,40306
5060ti,20260729_100925,3,/home/rock/projects/energy/new/5060ti/runs/CONV2D/conv2d_5060ti_20260729_100925_session3.csv,fa4070f34bf4401320604cafa3d2e97bafe1efcd66faee03421664158cc46bda,40300
5060ti,20260729_100925,4,/home/rock/projects/energy/new/5060ti/runs/CONV2D/conv2d_5060ti_20260729_100925_session4.csv,19b0ce5bac8da8e1a2ca8b2943132dfb7c223b933dc04ef3197f73e843242e5e,40436
5060ti,20260729_100925,5,/home/rock/projects/energy/new/5060ti/runs/CONV2D/conv2d_5060ti_20260729_100925_session5.csv,838af018b85483b21c70b62996fbba687f2b1801a0cde32d580632474ed29e8b,40402
5060ti,20260729_100925,source,/home/rock/projects/energy/new/5060ti/scripts/CONV2D/main_conv2d.cu,ff62fd03fd51770b89643988371fad4f318e95534423b1df7f23f408748e2ebb,57784
5060ti,20260729_100925,runner,/home/rock/projects/energy/new/5060ti/scripts/02_run_GPU_5060ti_CONV2D_only.sh,722fe6126d30ec57f363fc8be42c0a85ebd484c1e35e0a048ec97e72edefffbb,21148
