problem_size,objective,platform,configuration,value,best_value,penalty_vs_global_best_pct
3,edp,INTEL,10T,0.0008168508949091,1.8652604101657136e-05,4279.286079612493
3,energy,3090,gpu_resident,0.0784748464808691,0.0784748464808691,0.0
3,energy,5060ti,gpu_resident,0.084270028275212,0.0784748464808691,7.3847634678147145
3,energy,AMD,64T,0.2996115106257379,0.0784748464808691,281.7930509730635
3,energy,INTEL,10T,0.358497366972477,0.0784748464808691,356.8309248746003
3,energy_efficiency,3090,gpu_resident,47.140916220792896,47.140916220792896,0.0
3,energy_efficiency,5060ti,gpu_resident,43.89908734272027,47.140916220792896,7.384729556593417
3,energy_efficiency,AMD,64T,12.347243002729131,47.140916220792896,281.7930546144857
3,energy_efficiency,INTEL,10T,10.31911672920648,47.140916220792896,356.83092320652474
3,runtime,3090,gpu_resident,0.0002380348142352,0.0002380348142352,0.0
3,runtime,5060ti,gpu_resident,0.0004731176098644,0.0002380348142352,98.75983745676666
3,runtime,AMD,32T,0.0011554848568985,0.0002380348142352,385.42683162168714
3,runtime,INTEL,20T,0.0022411155,0.0002380348142352,841.5074459593857
3,throughput,3090,gpu_resident,15541.323829752284,15541.323829752284,0.0
3,throughput,5060ti,gpu_resident,7819.147207978272,15541.323829752284,98.75983168464566
3,throughput,AMD,32T,3201.579810046808,15541.323829752284,385.42671905233766
3,throughput,INTEL,20T,1650.6860670005929,15541.323829752284,841.5069370514473
4,edp,3090,gpu_resident,3.067337682275305e-05,3.067337682275305e-05,0.0
4,edp,5060ti,gpu_resident,4.162082554943685e-05,3.067337682275305e-05,35.690392974806564
4,edp,AMD,64T,0.0003476391931357,3.067337682275305e-05,1033.3580751299169
4,edp,INTEL,10T,0.0010562356384894,3.067337682275305e-05,3343.4931784422906
4,energy,3090,gpu_resident,0.1001294602012808,0.0861506518590053,16.22600414579951
4,energy,5060ti,gpu_resident,0.0861506518590053,0.0861506518590053,0.0
4,energy,AMD,64T,0.2903272330960854,0.0861506518590053,236.9994617930886
4,energy,INTEL,10T,0.410718193902439,0.0861506518590053,376.7441511349478
4,energy_efficiency,3090,gpu_resident,36.94596012645064,42.940779434561065,16.225912894380468
4,energy_efficiency,5060ti,gpu_resident,42.940779434561065,42.940779434561065,0.0
4,energy_efficiency,AMD,64T,12.742111308671811,42.940779434561065,236.99893521835077
4,energy_efficiency,INTEL,10T,9.007090980454887,42.940779434561065,376.7441511109553
4,runtime,3090,gpu_resident,0.0003062447918572,0.0003062447918572,0.0
4,runtime,5060ti,gpu_resident,0.0004846154214079,0.0003062447918572,58.24446138952564
4,runtime,AMD,32T,0.0011607068039772,0.0003062447918572,279.01274889874054
4,runtime,INTEL,20T,0.002491494742647,0.0003062447918572,713.5631393231229
4,throughput,3090,gpu_resident,12079.800980829914,12079.800980829914,0.0
4,throughput,5060ti,gpu_resident,7633.632727598928,12079.800980829914,58.244461213808975
4,throughput,AMD,32T,3187.1758990358844,12079.800980829914,279.01268594820993
4,throughput,INTEL,20T,1484.8021720849576,12079.800980829914,713.5629922919273
5,edp,3090,gpu_resident,7.516846282475107e-05,7.516846282475107e-05,0.0
5,edp,5060ti,gpu_resident,0.0001949508020594,7.516846282475107e-05,159.3518541331773
5,edp,AMD,64T,0.0021387264510902,7.516846282475107e-05,2745.2443627541784
5,edp,INTEL,10T,0.0064295002829032,7.516846282475107e-05,8453.454522401287
5,energy,3090,gpu_resident,0.1587692853762423,0.1587692853762423,0.0
5,energy,5060ti,gpu_resident,0.1862388282025819,0.1587692853762423,17.30154718605923
5,energy,AMD,64T,0.7427797698863636,0.1587692853762423,367.8359344669008
5,energy,INTEL,8T,1.0133582843137252,0.1587692853762423,538.2583897838472
5,energy_efficiency,3090,gpu_resident,47.57152202183882,47.57152202183882,0.0
5,energy_efficiency,5060ti,gpu_resident,40.62781954757792,47.57152202183882,17.091004517555632
5,energy_efficiency,AMD,64T,10.168414965354426,47.57152202183882,367.83615916466175
5,energy_efficiency,INTEL,8T,7.45333036217731,47.57152202183882,538.2585999843157
5,runtime,3090,gpu_resident,0.0004733076907677,0.0004733076907677,0.0
5,runtime,5060ti,gpu_resident,0.0010487651956087,0.0004733076907677,121.58211583412348
5,runtime,AMD,64T,0.0028799458508522,0.0004733076907677,508.4722279033663
5,runtime,INTEL,10T,0.0063174054813664,0.0004733076907677,1234.7354384036387
5,throughput,3090,gpu_resident,15957.68054811591,15957.68054811591,0.0
5,throughput,5060ti,gpu_resident,7201.700619497869,15957.68054811591,121.58211499256328
5,throughput,AMD,64T,2622.5815916628867,15957.68054811591,508.47222442363386
