problem_size,num_threads,runtime_per_op_s_median,runtime_1thread_s,speedup_vs_1thread,slowdown_vs_1thread,flag
2048,10,0.020747214285714285,0.139054125,6.7023034073421215,0.14920243671817923,ok
2048,16,0.011923494117647059,0.139054125,11.662195966046275,0.08574714426952137,ok
2048,20,0.012032536144578313,0.139054125,11.55651005982274,0.08653131393677327,ok
2048,32,0.008388908333333334,0.139054125,16.57594998951989,0.06032836734137397,ok
2048,64,0.008330417355371902,0.139054125,16.69233593804642,0.059907732729049944,ok
4096,1,1.094909,1.094909,1.0,1.0,ok
4096,2,0.55553375,1.094909,1.970913558357165,0.507378923727908,ok
4096,4,0.292974,1.094909,3.737222415640978,0.2675784014927268,ok
4096,8,0.15210785714285713,1.094909,7.198240909880677,0.13892283024694943,ok
4096,10,0.1342165625,1.094909,8.157778590105076,0.12258239040870064,ok
4096,16,0.08286526923076923,1.094909,13.213123063062978,0.07568233454174661,ok
4096,20,0.07885184615384616,1.094909,13.885648255638127,0.07201680336342671,ok
4096,32,0.05427760526315789,1.094909,20.172389601410682,0.04957270902253785,ok
4096,64,0.058426138888888896,1.094909,18.740054037837893,0.053361639084973184,ok
8192,1,8.780321,8.780321,1.0,1.0,ok
8192,2,4.4424115,8.780321,1.9764762899609818,0.5059509213843093,ok
8192,4,2.358498,8.780321,3.7228443695945472,0.26861181954509405,ok
8192,8,1.1863905,8.780321,7.400869275335567,0.13511926272399377,ok
8192,10,1.0258425,8.780321,8.559131640578356,0.11683428202681882,ok
8192,16,0.64333725,8.780321,13.64808426684449,0.07327035651657837,ok
8192,20,0.5722885,8.780321,15.342473245574567,0.06517853960008978,ok
8192,32,0.4591805,8.780321,19.12172010788786,0.05229655043363448,ok
8192,64,0.4803816666666667,8.780321,18.277802025472802,0.05471117361958255,ok
16384,1,73.7586125,73.7586125,1.0,1.0,ok
16384,2,37.545548499999995,73.7586125,1.9645101868734187,0.5090327383802128,ok
16384,4,19.7590285,73.7586125,3.7329068329447472,0.26788774666822807,ok
16384,8,9.953508,73.7586125,7.410313278494376,0.13494706126691305,ok
16384,10,8.4150445,73.7586125,8.76508882395096,0.1140889750332546,ok
16384,16,5.235291999999999,73.7586125,14.088729434766964,0.07097872129847886,ok
16384,20,4.464921,73.7586125,16.519578397915662,0.060534232527760745,ok
16384,32,3.469416,73.7586125,21.25966228898466,0.047037435797751756,ok
16384,64,3.67175,73.7586125,20.088135766323962,0.04978062731318326,ok
