STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[STREAM] N=2000000 threads=16 rep=6 batches=33074 time=1.007 s | package=220.898 J | dram=NA | total=220.898 J | power=219.3 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=7 batches=33074 time=1.006 s | package=220.638 J | dram=NA | total=220.638 J | power=219.4 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=8 batches=33074 time=1.008 s | package=221.133 J | dram=NA | total=221.133 J | power=219.3 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=9 batches=33074 time=1.003 s | package=220.424 J | dram=NA | total=220.424 J | power=219.7 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=10 batches=33074 time=1.006 s | package=220.858 J | dram=NA | total=220.858 J | power=219.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=1 active=1
[STREAM] N=32000000 threads=1 rep=1 batches=55 time=1.003 s | package=75.523 J | dram=NA | total=75.523 J | power=75.3 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=2 batches=55 time=1.002 s | package=75.181 J | dram=NA | total=75.181 J | power=75.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=3 batches=55 time=1.011 s | package=75.586 J | dram=NA | total=75.586 J | power=74.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=4 batches=55 time=1.010 s | package=75.453 J | dram=NA | total=75.453 J | power=74.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=5 batches=55 time=1.003 s | package=74.718 J | dram=NA | total=74.718 J | power=74.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=6 batches=55 time=1.002 s | package=74.541 J | dram=NA | total=74.541 J | power=74.4 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=7 batches=55 time=1.006 s | package=74.729 J | dram=NA | total=74.729 J | power=74.3 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=8 batches=55 time=1.021 s | package=75.678 J | dram=NA | total=75.678 J | power=74.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=9 batches=55 time=1.004 s | package=74.464 J | dram=NA | total=74.464 J | power=74.2 W | runtime=in_range | checksum=OK
