platform,platform_label,problem_size,configuration,metric,analysis_type,strided_median,dense_median,strided_over_dense_ratio,ci95_low,ci95_high,classification,probability_strided_lower,cliffs_delta_strided_minus_dense
INTEL,Intel CPU,64,8T,energy_j,configuration_matched_independent_sessions,0.0001642191003875,0.0001511939551011,1.0861485849595665,1.0057715048952618,1.4029990619437824,uncertain_strided_higher,0.08,0.84
INTEL,Intel CPU,64,8T,edp_j_s,configuration_matched_independent_sessions,4.5015620879452327e-10,3.5991294544620287e-10,1.2507363641406148,1.0279105687220842,1.7222916985254044,clear_strided_higher,0.08,0.84
INTEL,Intel CPU,64,8T,power_w,configuration_matched_independent_sessions,62.561207664146735,60.75489305707059,1.029731179106502,0.9623445940578665,1.192057733251326,uncertain_strided_higher,0.4,0.2
INTEL,Intel CPU,128,10T,runtime_s,configuration_matched_independent_sessions,1.222836402266289e-05,1.2571068788372388e-05,0.9727386134402125,0.9062727777839796,1.0132352360830565,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,128,10T,energy_j,configuration_matched_independent_sessions,0.0014895355540023,0.0014470509976176,1.029359405062189,0.9184289888565673,1.1128447580141199,uncertain_strided_higher,0.4,0.2
INTEL,Intel CPU,128,10T,edp_j_s,configuration_matched_independent_sessions,1.830983247974642e-08,1.8156633505523653e-08,1.0084376310275889,0.8379088576200833,1.1148049525090549,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,128,10T,power_w,configuration_matched_independent_sessions,121.88834640632672,114.59660859272012,1.0636296126312226,0.9799872814731223,1.142466439783971,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,128,16T,runtime_s,configuration_matched_independent_sessions,1.2112697310115212e-05,1.2725080469656098e-05,0.9518758910011486,0.9160799251798799,1.0584680152906156,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,128,16T,energy_j,configuration_matched_independent_sessions,0.0014916596468434,0.0014895722949091,1.0014013095849286,0.9248733513895352,1.1425128191859772,practically_equivalent_or_uncertain,0.52,-0.04
INTEL,Intel CPU,128,16T,edp_j_s,configuration_matched_independent_sessions,1.815300241842973e-08,1.9113586823657672e-08,0.9497433729163285,0.8575093431157181,1.1171925474580944,uncertain_strided_lower,0.64,-0.28
INTEL,Intel CPU,128,16T,power_w,configuration_matched_independent_sessions,122.22816754551135,118.28783668918292,1.0333113781316516,0.9478860836226939,1.1660944163866442,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,128,1T,runtime_s,configuration_matched_independent_sessions,2.712906506821449e-05,2.717564386971107e-05,0.9982860092765458,0.9195565945999102,1.1137698078795901,practically_equivalent_or_uncertain,0.6,-0.2
INTEL,Intel CPU,128,1T,energy_j,configuration_matched_independent_sessions,0.0017490790352806,0.0016505662807055,1.0596842160940019,0.8682857626020473,1.4221110748102466,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,128,1T,edp_j_s,configuration_matched_independent_sessions,4.753170007363268e-08,4.506482591140831e-08,1.0547405678893318,0.7959970256517777,1.58929226194264,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,128,1T,power_w,configuration_matched_independent_sessions,64.36293161881053,60.8473368895535,1.057777298218299,0.9367759740968121,1.2754318865314644,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,128,20T,runtime_s,configuration_matched_independent_sessions,1.2068080490189064e-05,1.299612199374391e-05,0.9285908901130977,0.8917889498092547,0.964372482342284,clear_strided_lower,1.0,-1.0
INTEL,Intel CPU,128,20T,energy_j,configuration_matched_independent_sessions,0.0014963019779699,0.0015768671286087,0.9489080917617426,0.8276087865951979,1.0523882139535208,uncertain_strided_lower,0.76,-0.52
INTEL,Intel CPU,128,20T,edp_j_s,configuration_matched_independent_sessions,1.8026667738769765e-08,2.0540724076120875e-08,0.8776062456204372,0.7365414499554155,0.9966098492340465,uncertain_strided_lower,0.92,-0.84
INTEL,Intel CPU,128,20T,power_w,configuration_matched_independent_sessions,124.522190889137,121.24285043131238,1.0270477017503186,0.9296997889137708,1.1205541411277773,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,128,2T,runtime_s,configuration_matched_independent_sessions,1.9554605851043165e-05,2.12574761399788e-05,0.9198931106532888,0.8862837998124797,0.9786364076115903,clear_strided_lower,0.92,-0.84
INTEL,Intel CPU,128,2T,energy_j,configuration_matched_independent_sessions,0.0014336584970338,0.0014973233556518,0.9574808885617856,0.825939003013236,1.0291328329410925,uncertain_strided_lower,0.76,-0.52
INTEL,Intel CPU,128,2T,edp_j_s,configuration_matched_independent_sessions,2.9751940393968386e-08,3.274268078996925e-08,0.9086592690688576,0.7324647777074742,0.9902084957444331,uncertain_strided_lower,0.92,-0.84
INTEL,Intel CPU,128,2T,power_w,configuration_matched_independent_sessions,72.22933993795371,71.70039034289941,1.0073772205775262,0.8700735710935081,1.0990418261942756,practically_equivalent_or_uncertain,0.52,-0.04
INTEL,Intel CPU,128,4T,runtime_s,configuration_matched_independent_sessions,1.238258696497825e-05,1.3199319247906131e-05,0.9381231510816406,0.9158074488532324,1.0101384627266499,uncertain_strided_lower,0.76,-0.52
INTEL,Intel CPU,128,4T,energy_j,configuration_matched_independent_sessions,0.0011816319297914,0.0012227639253655,0.9663614580698354,0.8245020447455093,1.0274725783584877,uncertain_strided_lower,0.72,-0.44
INTEL,Intel CPU,128,4T,edp_j_s,configuration_matched_independent_sessions,1.4631661135124886e-08,1.60855323067685e-08,0.9096162225833303,0.758925605826273,1.0208978911852578,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,128,4T,power_w,configuration_matched_independent_sessions,93.02313474852448,92.53256844533075,1.005301552863342,0.8978087381516585,1.0703050270822876,practically_equivalent_or_uncertain,0.56,-0.12
INTEL,Intel CPU,128,8T,runtime_s,configuration_matched_independent_sessions,1.178946383237596e-05,1.2722437863895323e-05,0.9266670396428481,0.8707900736882728,1.0070756577353317,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,128,8T,energy_j,configuration_matched_independent_sessions,0.0014275580101796,0.0014828760522532,0.9626954377005783,0.9093865015139552,1.0354847912678737,uncertain_strided_lower,0.52,-0.04
INTEL,Intel CPU,128,8T,edp_j_s,configuration_matched_independent_sessions,1.7363656290697365e-08,1.845036680450878e-08,0.9411008721221817,0.8559899345695459,1.0032425189727452,uncertain_strided_lower,0.88,-0.76
INTEL,Intel CPU,128,8T,power_w,configuration_matched_independent_sessions,120.68435096329333,119.34317653722177,1.0112379648756313,0.933958146164255,1.1844323814604343,practically_equivalent_or_uncertain,0.32,0.36
INTEL,Intel CPU,256,10T,runtime_s,configuration_matched_independent_sessions,6.35302962868769e-05,6.503224979162659e-05,0.9769044818599668,0.9555493622229787,1.0098780425821106,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,256,10T,energy_j,configuration_matched_independent_sessions,0.008834782678403,0.0087030169263319,1.01514023851573,0.9475312244842772,1.0729060854733654,practically_equivalent_or_uncertain,0.44,0.12
INTEL,Intel CPU,256,10T,edp_j_s,configuration_matched_independent_sessions,5.56065877186367e-07,5.664051066093366e-07,0.9817458753420087,0.9045807505848221,1.069187283743272,practically_equivalent_or_uncertain,0.6,-0.2
INTEL,Intel CPU,256,10T,power_w,configuration_matched_independent_sessions,138.8834642816098,137.03930478602535,1.013457157407971,0.9628639927907484,1.0750958818615834,practically_equivalent_or_uncertain,0.28,0.44
INTEL,Intel CPU,256,16T,runtime_s,configuration_matched_independent_sessions,5.005172069825436e-05,5.131122291021672e-05,0.975453669966779,0.9181459538795844,1.0263797900283214,uncertain_strided_lower,0.76,-0.52
INTEL,Intel CPU,256,16T,energy_j,configuration_matched_independent_sessions,0.0076120960363618,0.0077932210092066,0.9767586505463112,0.9334253191860175,1.0306793153938973,uncertain_strided_lower,0.64,-0.28
INTEL,Intel CPU,256,16T,edp_j_s,configuration_matched_independent_sessions,3.861948749776632e-07,3.943641735829133e-07,0.9792848865275219,0.8687890685631943,1.015098645512896,uncertain_strided_lower,0.72,-0.44
INTEL,Intel CPU,256,16T,power_w,configuration_matched_independent_sessions,151.29445697226697,149.60898916933672,1.0112658190680142,0.9650969192604886,1.062514496033692,practically_equivalent_or_uncertain,0.36,0.28
INTEL,Intel CPU,256,1T,runtime_s,configuration_matched_independent_sessions,0.0002008121199837,0.0001885600364963,1.0649770954389925,0.9907503034163114,1.110156615525905,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,256,1T,energy_j,configuration_matched_independent_sessions,0.013061316781516,0.0118498009332803,1.102239341830051,0.9204476221744728,1.1780780679024638,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,256,1T,edp_j_s,configuration_matched_independent_sessions,2.6228717336098355e-06,2.291367295880167e-06,1.1446753815181472,0.8890763539516031,1.2466605562821789,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,256,1T,power_w,configuration_matched_independent_sessions,65.04245649877507,64.53960357926127,1.0077913853142317,0.9042281466609867,1.1057213205262704,practically_equivalent_or_uncertain,0.32,0.36
INTEL,Intel CPU,256,20T,runtime_s,configuration_matched_independent_sessions,5.711243258586432e-05,6.004461649695728e-05,0.9511665810832258,0.9201341208724944,1.0236118483057792,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,256,20T,energy_j,configuration_matched_independent_sessions,0.0089584792506386,0.0092104732330915,0.9726404956536292,0.8984964593950617,1.0278743234359287,uncertain_strided_lower,0.8,-0.6
INTEL,Intel CPU,256,20T,edp_j_s,configuration_matched_independent_sessions,5.032302098415583e-07,5.386624567408444e-07,0.9342217998379401,0.8681272864809039,1.0329987175670712,uncertain_strided_lower,0.88,-0.76
INTEL,Intel CPU,256,20T,power_w,configuration_matched_independent_sessions,156.8050597541013,155.15134675334946,1.0106587086438947,0.8953471936497746,1.1105607124216796,practically_equivalent_or_uncertain,0.44,0.12
INTEL,Intel CPU,256,2T,runtime_s,configuration_matched_independent_sessions,0.0001122455885637,0.000111381581883,1.0077571773186664,0.9782101781839876,1.0678249680457539,practically_equivalent_or_uncertain,0.28,0.44
INTEL,Intel CPU,256,2T,energy_j,configuration_matched_independent_sessions,0.0085481906086956,0.0090224798188729,0.9474324997452254,0.8953409988317805,1.1293258670953827,uncertain_strided_lower,0.6,-0.2
INTEL,Intel CPU,256,2T,edp_j_s,configuration_matched_independent_sessions,9.690142793339438e-07,9.930583948003097e-07,0.9757878130910913,0.8846877036802004,1.1749218852572765,uncertain_strided_lower,0.56,-0.12
INTEL,Intel CPU,256,2T,power_w,configuration_matched_independent_sessions,74.4904201015634,80.10610626576948,0.9298969026708799,0.8920168361384421,1.0831917582184072,uncertain_strided_lower,0.68,-0.36
INTEL,Intel CPU,256,4T,runtime_s,configuration_matched_independent_sessions,6.681527759461954e-05,6.545919630063827e-05,1.02071643666007,0.973069643616838,1.0545225931576392,uncertain_strided_higher,0.4,0.2
INTEL,Intel CPU,256,4T,energy_j,configuration_matched_independent_sessions,0.0069324714075756,0.0070102348500306,0.988907155877287,0.8168677814796467,1.0407734577289736,practically_equivalent_or_uncertain,0.72,-0.44
INTEL,Intel CPU,256,4T,edp_j_s,configuration_matched_independent_sessions,4.683652220700697e-07,4.602089690816148e-07,1.0177229335723974,0.8094712719249074,1.0749211092526878,practically_equivalent_or_uncertain,0.44,0.12
INTEL,Intel CPU,256,4T,power_w,configuration_matched_independent_sessions,104.83814247586494,107.42307680197558,0.9759368805747789,0.8195451671592209,1.034557363215647,uncertain_strided_lower,0.72,-0.44
INTEL,Intel CPU,256,8T,runtime_s,configuration_matched_independent_sessions,3.926455906821964e-05,3.945221954115439e-05,0.9952433481533531,0.9596542107950379,1.039391147932527,practically_equivalent_or_uncertain,0.64,-0.28
INTEL,Intel CPU,256,8T,energy_j,configuration_matched_independent_sessions,0.0055139437543533,0.0055113264120244,1.0004749024342288,0.946535637697538,1.0882305843159752,practically_equivalent_or_uncertain,0.36,0.28
INTEL,Intel CPU,256,8T,edp_j_s,configuration_matched_independent_sessions,2.177878856343998e-07,2.1684149624597985e-07,1.0043644293403435,0.9108326558240927,1.11732165958497,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,256,8T,power_w,configuration_matched_independent_sessions,139.88276082610014,138.13997377684967,1.0126160951215015,0.9703918011962444,1.0779910351777802,practically_equivalent_or_uncertain,0.32,0.36
INTEL,Intel CPU,512,10T,runtime_s,configuration_matched_independent_sessions,0.0003086759963492,0.0002991651590312,1.0317912598806604,0.959800748031819,1.0670360598177426,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,512,10T,energy_j,configuration_matched_independent_sessions,0.0481938638576209,0.0458491040868454,1.0511407980041259,0.9580347147244446,1.1476451812078658,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,512,10T,edp_j_s,configuration_matched_independent_sessions,1.4873614092763956e-05,1.379645076117929e-05,1.0780753941887438,0.9960767438543866,1.1940003359443996,uncertain_strided_higher,0.12,0.76
INTEL,Intel CPU,512,10T,power_w,configuration_matched_independent_sessions,156.41059738064018,153.75616596219635,1.017263902243091,0.8939238452431131,1.1102943447656255,practically_equivalent_or_uncertain,0.32,0.36
INTEL,Intel CPU,512,16T,runtime_s,configuration_matched_independent_sessions,0.0002529232124874,0.0002532285750188,0.9987941229327009,0.8501413042229353,1.0391613190998044,practically_equivalent_or_uncertain,0.56,-0.12
INTEL,Intel CPU,512,16T,energy_j,configuration_matched_independent_sessions,0.0410734260466282,0.0389238862779592,1.055224181709887,0.9442928150295693,1.0825532532365074,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,512,16T,edp_j_s,configuration_matched_independent_sessions,1.0301292962434046e-05,9.863923528014535e-06,1.044340310747274,0.8160835492168127,1.130207230820617,uncertain_strided_higher,0.36,0.28
INTEL,Intel CPU,512,16T,power_w,configuration_matched_independent_sessions,159.6601842559451,153.89842185411533,1.0374387360988764,1.0003861067462305,1.119892248228431,uncertain_strided_higher,0.08,0.84
INTEL,Intel CPU,512,1T,runtime_s,configuration_matched_independent_sessions,0.0015167776923076,0.001349437751004,1.1240071586696732,1.005486635446626,1.161989891676709,uncertain_strided_higher,0.04,0.92
INTEL,Intel CPU,512,1T,energy_j,configuration_matched_independent_sessions,0.0950111505376344,0.0790135032552083,1.2024672571567265,0.9544356690659632,1.5140643558240725,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,512,1T,edp_j_s,configuration_matched_independent_sessions,0.0001485347856589,0.000106069269673,1.4003564474123047,0.965825783272742,1.7489760996236907,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,512,1T,power_w,configuration_matched_independent_sessions,60.57970323716611,58.83063785106185,1.0297305188247705,0.9471925781959503,1.306714173532819,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,512,20T,runtime_s,configuration_matched_independent_sessions,0.0003042477517985,0.0003046368181818,0.9987228517366281,0.932100401842924,1.0596736467635786,practically_equivalent_or_uncertain,0.52,-0.04
INTEL,Intel CPU,512,20T,energy_j,configuration_matched_independent_sessions,0.0520531010132023,0.0491742718181818,1.0585434026489453,0.987622211624595,1.1008599056467503,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,512,20T,edp_j_s,configuration_matched_independent_sessions,1.5942932531577658e-05,1.500784502318081e-05,1.0623065807884164,0.9826162990506604,1.1277776762202711,uncertain_strided_higher,0.12,0.76
INTEL,Intel CPU,512,20T,power_w,configuration_matched_independent_sessions,170.0302066860232,161.5976194827802,1.052182620203397,0.9821543037043089,1.174403121500557,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,512,2T,runtime_s,configuration_matched_independent_sessions,0.0008031029647435,0.0007771700310559,1.0333684170146993,0.9808387075757039,1.1140691367523707,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,512,2T,energy_j,configuration_matched_independent_sessions,0.0641747568108974,0.0594339211956521,1.0797664956286297,0.9352125108649864,1.216313540463546,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,512,2T,edp_j_s,configuration_matched_independent_sessions,5.153967174365877e-05,4.616145800240032e-05,1.116508749376564,0.8829518471954874,1.3699015102238254,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,512,2T,power_w,configuration_matched_independent_sessions,81.81019493857693,77.83058526350976,1.0511316940710835,0.9358991044995212,1.1221518378069262,uncertain_strided_higher,0.52,-0.04
INTEL,Intel CPU,512,4T,runtime_s,configuration_matched_independent_sessions,0.0004451100489106,0.0004284252609603,1.0389444541923174,0.968777231004677,1.0821790893056105,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,512,4T,energy_j,configuration_matched_independent_sessions,0.0454865582177385,0.0461172231005709,0.9863247428957926,0.9331393474927405,1.1386589167346572,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,512,4T,edp_j_s,configuration_matched_independent_sessions,1.9892057092049904e-05,1.9484660491667607e-05,1.0209085809094038,0.9288359055276582,1.2021078397219145,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,512,4T,power_w,configuration_matched_independent_sessions,104.20729423761532,102.7845975685479,1.013841535626178,0.9061516053842396,1.094038244721495,practically_equivalent_or_uncertain,0.48,0.04
INTEL,Intel CPU,512,8T,runtime_s,configuration_matched_independent_sessions,0.0002582372069573,0.0002629244156504,0.9821727902998085,0.9479618726693734,1.076059201032544,practically_equivalent_or_uncertain,0.48,0.04
INTEL,Intel CPU,512,8T,energy_j,configuration_matched_independent_sessions,0.0398910669031931,0.0378899667030567,1.0528134589248652,0.9723583744390408,1.0694491176172658,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,512,8T,edp_j_s,configuration_matched_independent_sessions,1.039126666456128e-05,9.90559311926735e-06,1.0490302336716464,0.9392020872103003,1.11604871473426,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,512,8T,power_w,configuration_matched_independent_sessions,150.46581583549354,146.63541638679277,1.0261219256785619,0.9577637494036872,1.1036596083073025,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,1024,10T,runtime_s,configuration_matched_independent_sessions,0.0019178826335877,0.0018345819672131,1.0454058024461788,0.970519308861281,1.1020189122296435,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,1024,10T,energy_j,configuration_matched_independent_sessions,0.2995842959183673,0.3012675954545455,0.9944126100464324,0.9660302959051816,1.0551561503962388,practically_equivalent_or_uncertain,0.48,0.04
INTEL,Intel CPU,1024,10T,edp_j_s,configuration_matched_independent_sessions,0.0005701554090018,0.0005536288573196,1.0298513190988878,0.9405778359919665,1.1375802254140472,uncertain_strided_higher,0.2,0.6
INTEL,Intel CPU,1024,10T,power_w,configuration_matched_independent_sessions,159.09329230671955,162.4432918244113,0.9793774216216153,0.8978015753864265,1.0372675718208446,uncertain_strided_lower,0.68,-0.36
INTEL,Intel CPU,1024,16T,runtime_s,configuration_matched_independent_sessions,0.0022528825503355,0.0022116209850107,1.0186567072769028,0.9523084878143785,1.0902698382546698,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,1024,16T,energy_j,configuration_matched_independent_sessions,0.3527532447916667,0.3434189822175732,1.0271803920500229,0.9675087446234305,1.0830518714279693,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,1024,16T,edp_j_s,configuration_matched_independent_sessions,0.0007913182713745,0.000764972093782,1.0344407041860118,0.9242973228211601,1.1758772392623924,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,1024,16T,power_w,configuration_matched_independent_sessions,158.31034172295614,156.91553480546563,1.0088889026776076,0.9538575992765126,1.068318355799565,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,1024,1T,runtime_s,configuration_matched_independent_sessions,0.0115853720930232,0.0114667298850574,1.0103466471396003,0.9385840039135032,1.1133983785713366,practically_equivalent_or_uncertain,0.36,0.28
INTEL,Intel CPU,1024,1T,energy_j,configuration_matched_independent_sessions,0.7580183076923077,0.7185562873563218,1.0549184817255899,0.8404854092791952,1.2785666087689234,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,1024,1T,edp_j_s,configuration_matched_independent_sessions,0.0090282683861049,0.0082394906456552,1.0957313715582206,0.7893880072186177,1.4182203455812452,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,1024,1T,power_w,configuration_matched_independent_sessions,63.12682519519551,62.664448741543055,1.007378608811505,0.8956260329896694,1.1436284160838632,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,1024,20T,runtime_s,configuration_matched_independent_sessions,0.0019798063583815,0.0020503696969696,0.965585065614074,0.9412442085799883,1.1088211878043124,uncertain_strided_lower,0.48,0.04
INTEL,Intel CPU,1024,20T,energy_j,configuration_matched_independent_sessions,0.3391459171483622,0.3323955616161616,1.0203081999632584,0.9686874623897036,1.0615561590304334,uncertain_strided_higher,0.4,0.2
INTEL,Intel CPU,1024,20T,edp_j_s,configuration_matched_independent_sessions,0.0006711930863682,0.0006817499217983,0.9845150911022424,0.9422284437771413,1.1138806014928808,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,1024,20T,power_w,configuration_matched_independent_sessions,171.38316567051953,165.78825247482888,1.0337473440498453,0.8817153669579206,1.0903237135603485,uncertain_strided_higher,0.36,0.28
INTEL,Intel CPU,1024,2T,runtime_s,configuration_matched_independent_sessions,0.0057472655367231,0.0057486754385964,0.9997547431772137,0.9468350550745153,1.110585073347293,practically_equivalent_or_uncertain,0.4,0.2
INTEL,Intel CPU,1024,2T,energy_j,configuration_matched_independent_sessions,0.4952450212121212,0.4798575327380952,1.0320667852940102,0.8539829131191357,1.3152082799474987,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,1024,2T,edp_j_s,configuration_matched_independent_sessions,0.0028706590694401,0.0028201571792679,1.0179074735775224,0.7949544880861167,1.3988328005298503,practically_equivalent_or_uncertain,0.32,0.36
INTEL,Intel CPU,1024,2T,power_w,configuration_matched_independent_sessions,79.98236415378435,84.64794435200402,0.9448825339595005,0.8831273981085502,1.1595464856040607,uncertain_strided_lower,0.6,-0.2
INTEL,Intel CPU,1024,4T,runtime_s,configuration_matched_independent_sessions,0.0031495660377358,0.0030922656716417,1.0185302209378662,0.9520194008395427,1.0876538025089542,practically_equivalent_or_uncertain,0.44,0.12
INTEL,Intel CPU,1024,4T,energy_j,configuration_matched_independent_sessions,0.3503299455128205,0.3468855910447761,1.0099293673676972,0.920176770478425,1.109682405701234,practically_equivalent_or_uncertain,0.36,0.28
