setup_id,cpu_type,N,mode,gpu_name,pcie_gen_current,threads,impl,dtype,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,gflops_median,joule_per_gflop_median,bw_gb_s_median,n_measurements,workload,source_file
AMD_3090_PCIe4,AMD,0,e2e,NVIDIA GeForce RTX 3090,4.0,,cublas,fp32,5.1573e-06,1.44209e-05,0.09499,4.2449e-06,0.0783099722,3.0099e-06,1.2232e-06,0.05615,2.811e-06,0.0518570417,6.1751e-06,3.92015e-05,0.11611,5.1503e-06,0.0950131389,5.4205833333333335e-05,1.0545,0.0,,22.825,190,REDUCTION,reduction_3090_on_amd_pciv4.csv
AMD_3090_PCIe4,AMD,0,kernel,NVIDIA GeForce RTX 3090,4.0,,cublas,fp32,9.1218e-06,2.5399e-05,0.09499,7.4759e-06,0.0783099722,5.3341e-06,2.1519e-06,0.05615,4.9506e-06,0.0518570417,1.10259e-05,6.94208e-05,0.11611,9.0705e-06,0.0950131389,9.546583333333334e-05,1.0303,,,868.275,190,REDUCTION,reduction_3090_on_amd_pciv4.csv
AMD_5050_PCIe3,AMD,0,e2e,NVIDIA GeForce RTX 5050,3.0,,cublas,fp32,1.0703e-06,3.1269e-06,0.06696,1.248e-06,0.0783099722,5.142e-07,3.801e-07,0.03243,8.264e-07,0.0518570417,1.6696e-06,1.08608e-05,0.10472,1.5141e-06,0.0950131389,1.5936111111111114e-05,1.0576,0.0,,6.77,190,REDUCTION,reduction_5050_on_amd_pciv3.csv
AMD_5050_PCIe3,AMD,0,kernel,NVIDIA GeForce RTX 5050,3.0,,cublas,fp32,1.625e-06,4.7596e-06,0.06696,1.8994e-06,0.0783099722,7.846e-07,5.814e-07,0.03243,1.2578e-06,0.0518570417,2.5408e-06,1.65228e-05,0.10472,2.3045e-06,0.0950131389,2.4254583333333337e-05,1.0455,,,302.6,190,REDUCTION,reduction_5050_on_amd_pciv3.csv
AMD_5050_PCIe4,AMD,0,e2e,NVIDIA GeForce RTX 5050,4.0,,cublas,fp32,1.226e-06,3.4792e-06,0.0743,1.2901e-06,0.0783099722,4.984e-07,3.907e-07,0.02995,8.543e-07,0.0518570417,1.7048e-06,1.09344e-05,0.10245,1.5653e-06,0.0950131389,1.6474583333333333e-05,1.0538,0.0,,12.905,190,REDUCTION,reduction_5050_on_amd_pciv4.csv
AMD_5050_PCIe4,AMD,0,kernel,NVIDIA GeForce RTX 5050,4.0,,cublas,fp32,1.8859e-06,5.3571e-06,0.0743,1.9063e-06,0.0783099722,7.675e-07,5.789e-07,0.02995,1.2624e-06,0.0518570417,2.6243e-06,1.67281e-05,0.10245,2.3129e-06,0.0950131389,2.4343194444444447e-05,1.0444,,,302.71,190,REDUCTION,reduction_5050_on_amd_pciv4.csv
Intel_CPU-only_1t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,1,openblas,fp32,5.187e-07,2.1218e-06,0.08493,4.783e-07,0.0783099722,7.84e-08,1.374e-07,0.01283,3.167e-07,0.0518570417,7.512e-07,4.5717e-06,0.12299,5.803e-07,0.0950131389,6.107916666666666e-06,0.6298,0.0,,4.46,190,REDUCTION,reduction_intel_cpu_1.csv
Intel_CPU-only_1t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,1,openblas,fp32,8.54e-07,3.4933e-06,0.08493,7.875e-07,0.0783099722,1.29e-07,2.262e-07,0.01283,5.215e-07,0.0518570417,1.2368e-06,7.5266e-06,0.12299,9.554e-07,0.0950131389,1.0055833333333333e-05,1.0494,,,16.26,190,REDUCTION,reduction_intel_cpu_1.csv
Intel_CPU-only_2t,Intel,0,e2e,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,2,openblas,fp32,5.067e-07,2.0725e-06,0.08493,4.665e-07,0.0783099722,7.57e-08,1.34e-07,0.01283,3.089e-07,0.0518570417,7.337e-07,4.4653e-06,0.12299,5.661e-07,0.0950131389,5.957638888888889e-06,0.6127,0.0,,4.46,190,REDUCTION,reduction_intel_cpu_2.csv
Intel_CPU-only_2t,Intel,0,kernel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,2,openblas,fp32,8.501e-07,3.4772e-06,0.08493,7.827e-07,0.0783099722,1.278e-07,2.247e-07,0.01283,5.183e-07,0.0518570417,1.2311e-06,7.4919e-06,0.12299,9.496e-07,0.0950131389,9.994722222222222e-06,1.0505,,,16.26,190,REDUCTION,reduction_intel_cpu_2.csv
