setup_id,cpu_type,gpu_name,pcie_gen_current,mode,threads,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,n_measurements,workload,source_file
AMD_3090_PCIe4,AMD,NVIDIA GeForce RTX 3090,4.0,e2e,,0.0117053323,0.0349891562,0.0088579565,0.0783099722,0.0064909581,0.0025349471,0.0058657589,0.0518570417,0.0127267104,0.0853678424,0.010747319,0.0950131389,0.11311402944441376,1.3774,9385.6308,950,GEMM,gemm_3090_on_amd_pciev4.csv
AMD_5050_PCIe3,AMD,NVIDIA GeForce RTX 5050,3.0,e2e,,0.0030030553,0.0081977598,0.003034441,0.0783099722,0.0002871308,0.0008947167,0.0020094138,0.0518570417,0.0041035298,0.0266361321,0.0036816737,0.0950131389,0.038749101111111114,1.3485,1957.9472,950,GEMM,gemm_5050_on_amd_pciev3.csv
AMD_5050_PCIe4,AMD,NVIDIA GeForce RTX 5050,4.0,e2e,,0.0027781053,0.007701739,0.0030132043,0.0783099722,0.0001712267,0.0009084635,0.0019953507,0.0518570417,0.0039674576,0.0256147464,0.0036559072,0.0950131389,0.0384779125,1.3481,1968.0246,950,GEMM,gemm_5050_on_amd_pciev4.csv
Intel_CPU-only_1t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,1,0.0027393842,0.0063364867,0.0023489067,0.0783099722,0.002587074,0.0007495944,0.0015554513,0.0518570417,0.0112715705,0.0249207648,0.0028499179,0.0950131389,0.02999498777777778,1.5465,154.7991,950,GEMM,gemm_intel_cpu_1.csv
Intel_CPU-only_2t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,2,0.0033834059,0.0088992721,0.0031826357,0.0783099722,0.0034638761,0.001144465,0.0021075486,0.0518570417,0.0108646956,0.033189485,0.0038614777,0.0950131389,0.04064151277777778,1.4331,283.3195,950,GEMM,gemm_intel_cpu_2.csv
Intel_CPU-only_4t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,4,0.0055152894,0.0146210529,0.0052348439,0.0783099722,0.0046094655,0.0019629772,0.0034665256,0.0518570417,0.0126956818,0.054537104,0.0063514127,0.0950131389,0.06684773083333334,1.5769,511.0952,949,GEMM,gemm_intel_cpu_4.csv
Intel_CPU-only_8t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,8,0.0083322681,0.0232836902,0.0083474518,0.0783099722,0.007701678,0.003229077,0.0055277016,0.0518570417,0.0131620185,0.0854401313,0.0101279259,0.0950131389,0.10659500416663684,1.567,807.7422,949,GEMM,gemm_intel_cpu_8.csv
Intel_CPU-only_10t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,10,0.0115376366,0.0303451769,0.0085471455,0.0783099722,0.010677341,0.002596927,0.0056599392,0.0518570417,0.0111678727,0.0705785226,0.0103702134,0.0950131389,0.1091450461110824,1.4519,752.8981,949,GEMM,gemm_intel_cpu_10.csv
Intel_CPU-only_16t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,16,0.0105864607,0.0283393913,0.0084941132,0.0783099722,0.0102437024,0.0025164538,0.0056248211,0.0518570417,0.0103369847,0.0655763992,0.0103058695,0.0950131389,0.10846783527775096,1.56,694.5638,949,GEMM,gemm_intel_cpu_16.csv
Intel_CPU-only_20t,Intel,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,,e2e,20,0.0086952013,0.0256942412,0.0085075186,0.0783099722,0.0080518033,0.0025681474,0.0056336982,0.0518570417,0.0083985272,0.0591887664,0.0103221343,0.0950131389,0.10863901972219338,1.3747,649.0214,949,GEMM,gemm_intel_cpu_20.csv
Intel_3090_PCIe3,Intel,NVIDIA GeForce RTX 3090,3.0,e2e,,0.0071780012,0.0262381701,0.0089646266,0.0783099722,0.0059504736,0.0029960129,0.0059363961,0.0518570417,0.0069026287,0.0555518538,0.0108767413,0.0950131389,0.11447618166663423,1.3882,9381.5595,950,GEMM,gemm_3090_on_intel_pciev3.csv
Intel_5050_PCIe3,Intel,NVIDIA GeForce RTX 5050,3.0,e2e,,0.0027918342,0.0114616823,0.003166234,0.0783099722,0.0015918105,0.0009206382,0.0020966874,0.0518570417,0.0029131304,0.0218300814,0.0038415776,0.0950131389,0.04043206666666667,1.4999,1965.009,950,GEMM,gemm_5050_on_intel_pciev3.csv
