setup_id,cpu_type,matrix_size,mode,gpu_name,pcie_gen_current,threads,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,gflops_median,joule_per_gflop_median,n_measurements,workload,source_file
AMD_CPU-only_2t,AMD,256,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.846e-07,9.9035e-06,0.00952,3.9865e-06,0.0783099722,7.784e-07,1.0461e-06,0.01529,2.6399e-06,0.0518570417,4.4335e-06,3.46235e-05,0.08709,4.8369e-06,0.0950131389,5.090722222222225e-05,1.4784,185.9293,0.6667,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,320,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.577e-07,9.3536e-06,0.00952,3.7652e-06,0.0783099722,7.352e-07,9.881e-07,0.01529,2.4933e-06,0.0518570417,4.1874e-06,3.27012e-05,0.08709,4.5683e-06,0.0950131389,4.80808333333333e-05,1.3888,193.2929,0.6448,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,384,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,3.784e-07,7.7333e-06,0.00952,3.113e-06,0.0783099722,6.078e-07,8.169e-07,0.01529,2.0614e-06,0.0518570417,3.462e-06,2.70364e-05,0.08709,3.7769e-06,0.0950131389,3.975180555555555e-05,1.1449,202.5751,0.617,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,448,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,5.975e-07,1.22089e-05,0.00952,4.9146e-06,0.0783099722,9.596e-07,1.2897e-06,0.01529,3.2544e-06,0.0518570417,5.4656e-06,4.26835e-05,0.08709,5.9628e-06,0.0950131389,6.275791666666671e-05,1.803,204.2727,0.6134,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,512,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.464e-07,9.1213e-06,0.00952,3.6717e-06,0.0783099722,7.169e-07,9.635e-07,0.01529,2.4314e-06,0.0518570417,4.0834e-06,3.1889e-05,0.08709,4.4548e-06,0.0950131389,4.688666666666665e-05,1.3478,203.9381,0.6141,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,640,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.312e-07,8.8108e-06,0.00952,3.5467e-06,0.0783099722,6.925e-07,9.307e-07,0.01529,2.3486e-06,0.0518570417,3.9443e-06,3.08033e-05,0.08709,4.3032e-06,0.0950131389,4.52902777777778e-05,1.292,207.7674,0.6074,49,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,768,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,3.625e-07,7.4078e-06,0.00952,2.9819e-06,0.0783099722,5.822e-07,7.825e-07,0.01529,1.9747e-06,0.0518570417,3.3163e-06,2.58985e-05,0.08709,3.618e-06,0.0950131389,3.8078749999999995e-05,1.0893,212.9149,0.5911,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,896,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,5.815e-07,1.18838e-05,0.00952,4.7837e-06,0.0783099722,9.34e-07,1.2553e-06,0.01529,3.1678e-06,0.0518570417,5.32e-06,4.15469e-05,0.08709,5.804e-06,0.0950131389,6.108666666666666e-05,1.7436,211.2198,0.5971,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,1024,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.337e-07,8.8619e-06,0.00952,3.5673e-06,0.0783099722,6.965e-07,9.361e-07,0.01529,2.3623e-06,0.0518570417,3.9672e-06,3.09822e-05,0.08709,4.3282e-06,0.0950131389,4.55533333333333e-05,1.2987,211.6562,0.5966,49,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,1152,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,6.21e-07,1.26903e-05,0.00952,5.1083e-06,0.0783099722,9.974e-07,1.3405e-06,0.01529,3.3828e-06,0.0518570417,5.6811e-06,4.43665e-05,0.08709,6.1979e-06,0.0950131389,6.523236111111115e-05,1.8516,211.3791,0.6,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,1280,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.323e-07,8.8332e-06,0.00952,3.5557e-06,0.0783099722,6.942e-07,9.331e-07,0.01529,2.3546e-06,0.0518570417,3.9544e-06,3.08816e-05,0.08709,4.3141e-06,0.0950131389,4.5405416666666654e-05,1.2887,208.2913,0.6089,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,1408,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,5.655e-07,1.15561e-05,0.00952,4.6518e-06,0.0783099722,9.083e-07,1.2207e-06,0.01529,3.0804e-06,0.0518570417,5.1733e-06,4.0401e-05,0.08709,5.644e-06,0.0950131389,5.94019444444444e-05,1.6844,212.1093,0.5985,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,1536,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,3.669e-07,7.4974e-06,0.00952,3.0192e-06,0.0783099722,5.893e-07,7.931e-07,0.01529,1.9993e-06,0.0518570417,3.3564e-06,2.62117e-05,0.08709,3.6632e-06,0.0950131389,3.855444444444445e-05,1.0907,212.632,0.5984,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_4t,AMD,64,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.2e-09,9.9872e-06,4e-05,4.3081e-06,0.0783099722,3.526e-07,1.1481e-06,0.00641,2.8528e-06,0.0518570417,4.3972e-06,3.62144e-05,0.07993,5.227e-06,0.0950131389,5.50136111111111e-05,1.822,71.9405,1.511,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,96,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,1.9e-09,8.3983e-06,4e-05,3.6227e-06,0.0783099722,2.965e-07,9.655e-07,0.00641,2.399e-06,0.0518570417,3.6977e-06,3.04529e-05,0.07993,4.3954e-06,0.0950131389,4.62613888888889e-05,1.2794,181.279,0.7181,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,128,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,1.7e-09,7.5982e-06,4e-05,3.2776e-06,0.0783099722,2.683e-07,8.735e-07,0.00641,2.1704e-06,0.0518570417,3.3454e-06,2.75517e-05,0.07993,3.9767e-06,0.0950131389,4.18540277777778e-05,1.0572,260.0056,0.5482,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,160,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,3.1e-09,1.38435e-05,4e-05,5.9716e-06,0.0783099722,4.888e-07,1.5915e-06,0.00641,3.9544e-06,0.0518570417,6.0951e-06,5.01978e-05,0.07993,7.2453e-06,0.0950131389,7.625597222222225e-05,1.8966,283.0627,0.5113,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,192,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.3e-09,1.03768e-05,4e-05,4.4762e-06,0.0783099722,3.664e-07,1.1929e-06,0.00641,2.9641e-06,0.0518570417,4.5688e-06,3.76273e-05,0.07993,5.431e-06,0.0950131389,5.716e-05,1.3685,338.9649,0.4436,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,224,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,1.8e-09,8.1483e-06,4e-05,3.5149e-06,0.0783099722,2.877e-07,9.367e-07,0.00641,2.3276e-06,0.0518570417,3.5876e-06,2.95465e-05,0.07993,4.2646e-06,0.0950131389,4.48844444444444e-05,1.0706,344.0066,0.4387,49,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,256,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.7e-09,1.20839e-05,4e-05,5.2126e-06,0.0783099722,4.267e-07,1.3892e-06,0.00641,3.4518e-06,0.0518570417,5.3204e-06,4.38173e-05,0.07993,6.3244e-06,0.0950131389,6.656333333333335e-05,1.5915,345.4325,0.4359,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,320,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.4e-09,1.10717e-05,4e-05,4.776e-06,0.0783099722,3.909e-07,1.2728e-06,0.00641,3.1626e-06,0.0518570417,4.8748e-06,4.0147e-05,0.07993,5.7946e-06,0.0950131389,6.09877777777778e-05,1.4272,376.1841,0.409,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,384,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2e-09,9.1379e-06,4e-05,3.9418e-06,0.0783099722,3.227e-07,1.0505e-06,0.00641,2.6103e-06,0.0518570417,4.0233e-06,3.31349e-05,0.07993,4.7825e-06,0.0950131389,5.03355555555556e-05,1.1738,395.1582,0.3907,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,448,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,3.2e-09,1.46919e-05,4e-05,6.3376e-06,0.0783099722,5.188e-07,1.689e-06,0.00641,4.1967e-06,0.0518570417,6.4687e-06,5.32741e-05,0.07993,7.6893e-06,0.0950131389,8.09291666666667e-05,1.8938,388.9465,0.3955,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,512,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.4e-09,1.07644e-05,4e-05,4.6434e-06,0.0783099722,3.801e-07,1.2375e-06,0.00641,3.0749e-06,0.0518570417,4.7394e-06,3.90327e-05,0.07993,5.6338e-06,0.0950131389,5.9295e-05,1.3771,399.1982,0.3883,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,640,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.3e-09,1.0635e-05,4e-05,4.5876e-06,0.0783099722,3.755e-07,1.2226e-06,0.00641,3.0379e-06,0.0518570417,4.6825e-06,3.85633e-05,0.07993,5.5661e-06,0.0950131389,5.858194444444445e-05,1.3496,397.8,0.3928,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,768,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,1.9e-09,8.7598e-06,4e-05,3.7787e-06,0.0783099722,3.093e-07,1.007e-06,0.00641,2.5022e-06,0.0518570417,3.8568e-06,3.17637e-05,0.07993,4.5846e-06,0.0950131389,4.82525e-05,1.1099,417.9264,0.3745,49,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,896,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,3.1e-09,1.4088e-05,4e-05,6.077e-06,0.0783099722,4.974e-07,1.6196e-06,0.00641,4.0242e-06,0.0518570417,6.2028e-06,5.10842e-05,0.07993,7.3733e-06,0.0950131389,7.76025e-05,1.7849,412.6653,0.3793,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,1024,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,2.3e-09,1.0574e-05,4e-05,4.5612e-06,0.0783099722,3.734e-07,1.2156e-06,0.00641,3.0205e-06,0.0518570417,4.6556e-06,3.83422e-05,0.07993,5.5341e-06,0.0950131389,5.824597222222225e-05,1.3408,410.0207,0.3814,50,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,1152,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,4,3.3e-09,1.50306e-05,4e-05,6.4837e-06,0.0783099722,5.307e-07,1.7279e-06,0.00641,4.2935e-06,0.0518570417,6.6178e-06,5.45022e-05,0.07993,7.8666e-06,0.0950131389,8.27948611111111e-05,1.8904,414.0809,0.3808,50,GEMM,gemm_amd_cpu_4.csv
