setup_id,cpu_type,gpu_name,pcie_gen_current,mode,threads,impl,dtype,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,bw_gb_s_mean,passes_e2e_median,n_measurements,workload,source_file
AMD_CPU-only_64t,AMD,,0,kernel,64,openmp,float32,0.0008505702,0.0021115689,0.0006904543,0.0783099722,0.0007379779,0.000187889,0.0004572204,0.0518570417,0.0008654708,0.0060777811,0.0008377251,0.0950131389,0.008816939722222222,1.1655,,103.2235,7.0,250,STREAM,stream_amd_cpu_64.csv
Intel_3090_PCIe3,Intel,NVIDIA GeForce RTX 3090,3,kernel,,cuda,fp32,0.0027805286,0.007590305,0.0028095887,0.0783099722,0.0002658544,0.0008284181,0.001860516,0.0518570417,0.0037994578,0.0246623921,0.0034088613,0.0950131389,0.03587778888887646,1.1203,,801.5294,1119.0,350,STREAM,stream_3090_on_intel_pcie3.csv
Intel_5050_PCIe3,Intel,NVIDIA GeForce RTX 5050,3,kernel,,cuda,fp32,0.0008735581,0.0041478501,0.0006842884,0.0783099722,0.0006645403,0.0001779972,0.0004531373,0.0518570417,0.0008755679,0.0072799715,0.0008302441,0.0950131389,0.008738202777777778,1.1249,,424.9955,410.0,350,STREAM,stream_5050_on_intel_pcie3.csv
Intel_CPU-only_1t,Intel,,0,kernel,1,openmp,float32,0.0005106103,0.0015277478,0.000389954,0.0783099722,0.0002728832,0.0001112945,0.0002582284,0.0518570417,0.0005584147,0.0037549331,0.0004731294,0.0950131389,0.004979621111111112,1.2197,,35.0971,5.0,350,STREAM,stream_intel_cpu_1.csv
Intel_CPU-only_2t,Intel,,0,kernel,2,openmp,float32,0.0004986478,0.0014919558,0.0003808182,0.0783099722,0.0002664901,0.0001086871,0.0002521787,0.0518570417,0.0005453322,0.0036669628,0.000462045,0.0950131389,0.004862958888888889,1.1484,,60.5911,8.0,350,STREAM,stream_intel_cpu_2.csv
Intel_CPU-only_4t,Intel,,0,kernel,4,openmp,float32,0.0007480228,0.0022380866,0.0005712663,0.0783099722,0.0003997625,0.0001630418,0.0003782938,0.0518570417,0.0008180542,0.0055008199,0.0006931148,0.0950131389,0.007294936666666667,1.2037,,72.0154,10.0,350,STREAM,stream_intel_cpu_4.csv
Intel_CPU-only_8t,Intel,,0,kernel,8,openmp,float32,0.0010438331,0.0030625484,0.0008146662,0.0783099722,0.0005741844,0.0002333282,0.0005394738,0.0518570417,0.0011786448,0.0077505308,0.0009884308,0.0950131389,0.01040309611111111,1.2171,,71.9953,10.0,350,STREAM,stream_intel_cpu_8.csv
Intel_CPU-only_10t,Intel,,0,kernel,10,openmp,float32,0.0011675942,0.0032478514,0.0009625673,0.0783099722,0.0006901822,0.0002780396,0.0006374142,0.0518570417,0.0014271961,0.008887679,0.0011678786,0.0950131389,0.012291758611111111,1.2234,,70.5903,10.0,350,STREAM,stream_intel_cpu_10.csv
Intel_CPU-only_16t,Intel,,0,kernel,16,openmp,float32,0.0010861962,0.0030214298,0.0008954626,0.0783099722,0.0006420667,0.0002586563,0.0005929774,0.0518570417,0.0013277002,0.008268081,0.0010864608,0.0950131389,0.01143484777777778,1.1311,,68.5768,9.0,350,STREAM,stream_intel_cpu_16.csv
Intel_CPU-only_20t,Intel,,0,kernel,20,openmp,float32,0.00119985,0.0033375763,0.0009891591,0.0783099722,0.0007092492,0.0002857207,0.0006550234,0.0518570417,0.0014666237,0.0091332095,0.0012001423,0.0950131389,0.01263133,1.2005,,64.6854,9.0,350,STREAM,stream_intel_cpu_20.csv
