platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,working_set_bytes,operational_intensity_flop_per_byte,runtime_s_median,runtime_s_ci95_low,runtime_s_ci95_high,runtime_s_session_cv_pct,energy_j_median,energy_j_ci95_low,energy_j_ci95_high,energy_j_session_cv_pct,total_energy_j_median,total_energy_j_ci95_low,total_energy_j_ci95_high,total_energy_j_session_cv_pct,power_w_median,power_w_ci95_low,power_w_ci95_high,power_w_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,throughput_gflops_median,throughput_gflops_ci95_low,throughput_gflops_ci95_high,throughput_gflops_session_cv_pct,efficiency_gflop_per_j_median,efficiency_gflop_per_j_ci95_low,efficiency_gflop_per_j_ci95_high,efficiency_gflop_per_j_session_cv_pct,logical_bandwidth_gb_s_median,logical_bandwidth_gb_s_ci95_low,logical_bandwidth_gb_s_ci95_high,logical_bandwidth_gb_s_session_cv_pct,logical_gb_per_j_median,logical_gb_per_j_ci95_low,logical_gb_per_j_ci95_high,logical_gb_per_j_session_cv_pct,temperature_c_median,temperature_c_ci95_low,temperature_c_ci95_high,temperature_c_session_cv_pct,clock_mhz_median,clock_mhz_ci95_low,clock_mhz_ci95_high,clock_mhz_session_cv_pct,strict_pareto,practical_pareto_2pct
AMD,AMD CPU,CPU,CPU package RAPL,1000000,64T,64,5,4000004.0,0.2499995000005,0.0001113619217466,0.0001083811389759,0.0001131501101321,1.5786817833741913,0.0161962598595353,0.0158335127481713,0.0164259477422907,1.3235160586053352,0.0161962598595353,0.0158335127481713,0.0164259477422907,1.3235160586053352,145.42077378676663,144.95160094387197,146.0912148093512,0.3056532076461647,1.8036232936282016e-06,1.7160541456362382e-06,1.858597796064312e-06,2.883458305758821,8.979721113968033,8.837808454914676,9.226688420596531,1.5956372274577029,0.0617425880217194,0.0608792269212798,0.0631571159163967,1.3348295886117902,35.91895629371288,35.35130452219705,36.9068274959673,1.5956372274576949,0.2469708460280759,0.2435173947194218,0.2526289689230194,1.3348295886117845,53.5,53.0,54.0,0.9345794392523364,4174.0,4169.5,4192.5,0.2469462483913651,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,1T,1,5,4000004.0,0.2499995000005,0.0001464603895153,0.0001463853526485,0.0001464945103205,0.0325869369863473,0.0077316271409749,0.0071333204978038,0.0078822732328406,3.867509638677261,0.0077316271409749,0.0071333204978038,0.0078822732328406,3.867509638677261,52.77029163264764,48.70684378742599,53.83601976820337,3.873251380355853,1.1326409319978051e-06,1.0447787057005976e-06,1.1539161210691118e-06,3.853273218164104,6.827777826546986,6.826187532981318,6.831277733102124,0.0325886233667774,0.1293387513089395,0.1268668276853963,0.1401870279497295,4.052309727017088,27.311165928465176,27.304804741480144,27.32516558268501,0.0325886233667759,0.5173560399468035,0.5074683256772217,0.5607492332962632,4.052309727017088,96.0,85.0,98.0,5.734054492679812,1364.0,1362.0,1374.5,0.3629607426547206,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,2T,2,5,4000004.0,0.2499995000005,8.228296997120527e-05,8.171700434746945e-05,8.363926499032882e-05,0.9209196050835357,0.0057573638996937,0.0055828600607005,0.006141189092553,3.911761647347571,0.0057573638996937,0.0055828600607005,0.006141189092553,3.911762459852513,69.21640070736333,68.21738106450186,74.7953040385578,3.871545912846182,4.776198642046446e-07,4.5621459985157626e-07,5.042544194947474e-07,4.1721182794621,12.15317094594358,11.956095024455673,12.237342863767951,0.9174341309997036,0.1736904280191845,0.1628347515325054,0.1791194816146845,3.826286885627219,48.61278100923912,47.82447574667854,48.94946935391262,0.917434130999708,0.6947631016015516,0.6513403088093366,0.7164793594160243,3.826286885627223,95.5,90.5,98.0,3.568678403067622,1632.5,1615.0,1676.5,1.644024449954142,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,4T,4,5,4000004.0,0.2499995000005,3.124603622234756e-05,3.107978938212544e-05,3.157778128950695e-05,0.5914977696530646,0.002768624239683,0.0026573286662452,0.0027854675931795,1.8877720149578792,0.002768624239683,0.0026573286662452,0.0027854675931795,1.887791668878088,88.5353049902299,84.16479243284866,89.20380211249993,2.39982502774524,8.612562038244276e-08,8.391254343702816e-08,8.689556250943204e-08,1.388152933348192,32.0040274191575,31.667804360032463,32.17521803976953,0.5887342880821334,0.3611898594496511,0.359005792222677,0.3763173944956521,1.9213394071006495,128.0163657091054,126.6714707828181,128.70112956107985,0.5887342880821288,1.4447623273203698,1.436026040939918,1.5052725885247749,1.921339407100644,91.5,86.0,94.0,3.26345367969006,1900.5,1839.5,2007.5,3.50996046519561,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,8T,8,5,4000004.0,0.2499995000005,1.6659152231845433e-05,1.6438170098006973e-05,1.679355700862315e-05,0.9501413563918172,0.0020945261461553,0.0020409929232993,0.0021982313291139,2.786079287734862,0.0020945261461553,0.0020409929232993,0.0021982313291139,2.786079287734862,127.17161925894294,121.67343334458236,131.93557862258112,2.8741782869369525,3.443017706522383e-08,3.427553101162321e-08,3.6620670352520384e-08,2.9579794215633584,60.02700414060771,59.546586794359335,60.83396108191165,0.9515945699764476,0.4774344793143749,0.4549107215222415,0.4899571128269688,2.753172713096747,240.1084967789442,238.18682355060807,243.33633099982197,0.9515945699764476,1.9097417367371536,1.819646525378377,1.9598323709686976,2.7531727130967543,94.0,88.0,96.0,3.3417192065230554,2459.0,2459.0,2460.0,0.0181845889277419,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,10T,10,5,4000004.0,0.2499995000005,1.4282895111668183e-05,1.3881232380741804e-05,1.4323189919043396e-05,1.3227623044681485,0.002149620326401,0.0019300298698247,0.0021903035457253,4.995826469629542,0.0021496214206024,0.0019300298698247,0.0021903058330601,4.995847705306808,150.07475957866717,138.90628215462073,153.32834110386744,3.828233103651572,3.078942018887758e-08,2.6791193124809517e-08,3.1278804446525093e-08,6.195620560354946,70.0137466656229,69.8167800365791,72.03964119117792,1.3460957466428949,0.4651979643652921,0.45655726666363,0.5181261780631548,5.331733305883349,280.05554677302507,279.2676786811152,288.15914108241753,1.3460957466428964,1.860795579048605,1.826232719116306,2.0725088572661887,5.331733305883351,95.5,83.0,98.0,6.509263898389288,2739.0,2739.0,2739.0,0.0,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,16T,16,5,4000004.0,0.2499995000005,1.4006697511042376e-05,1.2446403334371331e-05,1.4210069620896433e-05,6.280969543679606,0.0018099945017497,0.0017520632081347,0.0019541439080459,5.15162529069282,0.0018099967102245,0.0017520632081347,0.0019541439080459,5.151620463248179,138.3770378462429,129.28549172991265,140.76865663102834,3.26268107969315,2.535204548265791e-08,2.180688535575706e-08,2.754549273355245e-08,10.932513336715605,71.39434539880916,70.37256161852046,80.34441542147808,6.434771616537424,0.5524873136538885,0.5117325269048258,0.5707550933990729,5.088744204895351,285.577952750571,281.4908094551378,321.3783044418784,6.434771616537417,2.209953674518483,2.0469342014836127,2.2830249396416047,5.088744204895352,93.0,84.0,96.0,5.155887489404966,3202.0,3200.0,3339.0,1.909933906303201,False,False
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,20T,20,5,4000004.0,0.2499995000005,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549,0.0013021631342023,0.0022389367965183,23.81907321750153,0.0015453029138073,0.0013021631342023,0.0022389367965183,23.819070467165947,129.3283028785228,111.7376851879908,133.82983206684366,6.815698956301556,1.8139529036954358e-08,1.517512630170912e-08,3.876108943213972e-08,45.26029542482795,84.98677819060771,57.76242593751856,86.80194761252564,20.22811972280648,0.6471217839015534,0.4466401202370101,0.7679521664638398,23.15009695386358,339.9477926573363,231.05016584994385,347.2084848663779,20.228119722806483,2.588492312585662,1.7865640540725758,3.0718148094788345,23.15009695386358,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.0138908181691901,False,False
3090,RTX 3090,GPU,GPU board NVML,2000000,gpu_resident,-1,5,8000004.0,0.249999750000125,1.382743051332375e-05,1.3754204585453044e-05,1.3867925871226304e-05,0.3210263282282247,0.0039716894787203,0.0039622577472398,0.0040023979986731,0.3857585713325939,0.0039716894787203,0.0039622577472398,0.0040023979986731,0.3857585713325939,287.7033896302025,285.97879349329173,289.4754937786929,0.5099309078448148,5.4899818786934745e-08,5.4607009991244985e-08,5.5342880213318335e-08,0.4922069733297269,144.63996026397336,144.217601000426,145.41000808692877,0.321680140581748,0.5035637883363456,0.4997001799079082,0.5047624681643302,0.3842112315326731,578.5604196160238,576.8709808723963,581.6406139880382,0.3216801405817489,2.014257167601543,1.998802718433352,2.019051891708203,0.384211231532674,62.0,61.0,63.0,1.3451125828522117,1950.0,1950.0,1950.0,0.0,False,False
5060ti,RTX 5060 Ti,GPU,GPU board NVML,2000000,gpu_resident,-1,5,8000004.0,0.249999750000125,8.196056425240346e-06,8.1960527370483e-06,8.196145859799527e-06,0.0005407935497443,0.0007296760128185,0.0007239961970641,0.0007354623763431,0.7179777235025757,0.0007296760128185,0.0007239961970641,0.0007354623763431,0.7179777235025757,89.02767342185064,88.33469796216595,89.73269977121805,0.7174893251136032,5.980464346876632e-09,5.9339136827967925e-09,6.027956910902821e-09,0.7184657608412722,244.019671929156,244.01700923962315,244.01978173706493,0.000540792205986,2.7409411367034764,2.7193763601402527,2.762444068228893,0.7179579716052218,976.0796637957995,976.0690130270176,976.0801030278748,0.000540792205993,10.963775510583934,10.87751631807189,11.049787322697371,0.7179579716052222,59.0,57.0,60.0,2.588012096945921,2752.0,2745.0,2760.0,0.2726105432684794,True,True
