platform,platform_label,problem_size,energy_opt_configuration,runtime_opt_configuration,energy_leaders,runtime_leaders,leader_set_overlap,leader_sets_disjoint,energy_selection_status,runtime_selection_status,runtime_opt_energy_penalty_pct,runtime_opt_runtime_gain_pct,interpretation
3090,RTX 3090,64000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,128000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,256000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,1000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,2000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,4000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,8000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,16000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,32000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,64000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,128000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
5060ti,RTX 5060 Ti,256000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
