metric,policy,problem_size,best_cpu,best_cpu_label,best_gpu,best_gpu_label,cpu_over_gpu_ratio,ratio_ci95_low,ratio_ci95_high,classification
edp_j_s,edp_opt,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,23.204822609036377,9.672431793309675,23.899628343729013,clear_5060ti
edp_j_s,edp_opt,16000000,AMD,AMD CPU,3090,RTX 3090,1.0668775710516862,1.0642178355739829,1.081834101015186,clear_3090
edp_j_s,edp_opt,32000000,AMD,AMD CPU,3090,RTX 3090,6.097354820775312,5.80056454733713,6.780963285761583,clear_3090
edp_j_s,edp_opt,64000000,AMD,AMD CPU,3090,RTX 3090,76.0646397856806,67.97009918884301,81.47970669543672,clear_3090
edp_j_s,edp_opt,128000000,AMD,AMD CPU,3090,RTX 3090,78.61414670179485,75.53501032464185,90.81353622315557,clear_3090
edp_j_s,edp_opt,256000000,AMD,AMD CPU,3090,RTX 3090,73.40607208279738,73.18682444012207,89.34743051592848,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,1000000,INTEL,Intel CPU,3090,RTX 3090,0.4808979569277456,0.32684887240039834,0.4911690989225661,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,2000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.31625922211804824,0.30780399403416986,0.3208848964650444,clear_5060ti
logical_bandwidth_gb_s,bandwidth_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.7652057020249093,0.1050316666363191,1.138202604222048,uncertain_5060ti_advantage
logical_bandwidth_gb_s,bandwidth_opt,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.29556873647605303,0.2903914538724276,0.5042958527646156,clear_5060ti
logical_bandwidth_gb_s,bandwidth_opt,16000000,AMD,AMD CPU,3090,RTX 3090,0.7886199457963184,0.7834519441602902,0.7899423586441503,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,32000000,AMD,AMD CPU,3090,RTX 3090,0.2838559206039279,0.267448814735645,0.2914050974935939,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,64000000,AMD,AMD CPU,3090,RTX 3090,0.06555416632568711,0.06542589380041221,0.06573267608744293,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,128000000,AMD,AMD CPU,3090,RTX 3090,0.06365383912278137,0.0635932126420686,0.06385650982804605,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,256000000,AMD,AMD CPU,3090,RTX 3090,0.0636933884200779,0.06366965460062396,0.06373072362533383,clear_3090
logical_gb_per_j,bytes_per_j_opt,1000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.2626233622731283,0.1812612911831175,0.3116603165569661,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,2000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.18828096156851554,0.15909595089760695,0.21341422397620372,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.26023517678781194,0.05436598129461334,0.33195172625744085,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.14775167718439178,0.14604360484243875,0.15163063951875938,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,16000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.6077412846382975,0.5715565852335829,0.6209486385594486,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,32000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.28619615102484286,0.2731310937017831,0.29304600548590287,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,64000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.1068261333075735,0.10470341947802138,0.11044937367342861,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,128000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.10938225371187171,0.10790084118992263,0.11054695773505889,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,256000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.11147082878144769,0.1100497571950545,0.1121374394949883,clear_5060ti
