setup_id,cpu_type,gpu_name,pcie_gen_current,threads,impl,dtype,backend,library,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,bw_gb_s_mean,passes_e2e_median,n_measurements,workload,source_file
AMD_CPU-only_20t,AMD,,,20,omp,fp32,cpu,OpenMP,0.00707332,0.0328431761,0.0060558177,0.0783099722,0.0019080271,0.0013587231,0.0040101762,0.0518570417,0.0071315628,0.0582859316,0.0073474965,0.0950131389,0.07733137305555556,1.02,,129.0237,32947.0,2400,SPMV,SPMV_amd_cpu_20.csv
AMD_CPU-only_32t,AMD,,,32,omp,fp32,cpu,OpenMP,0.0081411356,0.0398578423,0.0072354073,0.0783099722,0.0012095227,0.0016043071,0.0047913031,0.0518570417,0.0083002327,0.071476354,0.0087786873,0.0950131389,0.09239445583333333,1.0177,,164.2301,44794.5,2400,SPMV,SPMV_amd_cpu_32.csv
AMD_CPU-only_64t,AMD,,,64,omp,fp32,cpu,OpenMP,0.0057951152,0.0288739655,0.0052007255,0.0783099722,0.0009961807,0.0012233099,0.0034439323,0.0518570417,0.0059551682,0.051876442,0.006310017,0.0950131389,0.06641204666666667,0.9928,,129.5052,5274.5,2400,SPMV,SPMV_amd_cpu_64.csv
Intel_3090_PCIe3,Intel,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,cuda,cusparse,7.82262e-05,0.0386431673,0.0160319333,0.0783099722,1.0696e-06,0.0049306655,0.0106163827,0.0518570417,-0.0004821547,0.1114608325,0.0194514729,0.0950131389,0.2047240319444031,1.1235,,357.8271,80035.5,2400,SPMV,SPMV_5050_on_intel_pciev3.csv
Intel_5050_PCIe3,Intel,NVIDIA GeForce RTX 5050,3,,cusparse,fp32,cuda,cusparse,0.0060651891,0.0181696867,0.0054087448,0.0783099722,0.0008696762,0.0015292521,0.0035816831,0.0518570417,0.0066193896,0.0471512399,0.0065624059,0.0950131389,0.06906840444444444,1.1221,,178.2537,59072.0,2400,SPMV,SPMV_3090_on_intel_pciev3.csv
Intel_CPU-only_1t,Intel,,,1,omp,fp32,cpu,OpenMP,0.0027900876,0.0083603303,0.001767732,0.0783099722,0.0014690849,0.0004307028,0.0011705962,0.0518570417,0.0027677398,0.016699893,0.0021447814,0.0950131389,0.022573523888888888,1.0181,,9.33,1676.5,2400,SPMV,SPMV_cpu_intel_1.csv
Intel_CPU-only_2t,Intel,,,2,omp,fp32,cpu,OpenMP,0.0032840401,0.0107520369,0.0022200682,0.0783099722,0.0018311013,0.0005112993,0.0014701342,0.0518570417,0.0032650393,0.021077902,0.0026935988,0.0950131389,0.028349750277777776,1.0178,,17.1406,3350.0,2400,SPMV,SPMV_cpu_intel_2.csv
Intel_CPU-only_4t,Intel,,,4,omp,fp32,cpu,OpenMP,0.0044121962,0.0152472332,0.0031114398,0.0783099722,0.0025158733,0.0007028301,0.0020604025,0.0518570417,0.0043971438,0.0295684743,0.003775096,0.0950131389,0.03973235722222222,1.0147,,31.6803,6610.5,2400,SPMV,SPMV_cpu_intel_4.csv
Intel_CPU-only_8t,Intel,,,8,omp,fp32,cpu,OpenMP,0.0067597394,0.0243491984,0.0049421623,0.0783099722,0.0038333169,0.0011284113,0.0032727111,0.0518570417,0.0067603705,0.0468429553,0.0059963034,0.0950131389,0.06311025444444444,1.0164,,55.564,12747.5,2400,SPMV,SPMV_cpu_intel_8.csv
Intel_CPU-only_10t,Intel,,,10,omp,fp32,cpu,OpenMP,0.0069656052,0.0306411577,0.0058862661,0.0783099722,0.0041294721,0.0014053142,0.0038978988,0.0518570417,0.0069469071,0.0563172833,0.0071417803,0.0950131389,0.07516623944444445,1.0054,,66.3537,15805.0,2400,SPMV,SPMV_cpu_intel_10.csv
Intel_CPU-only_16t,Intel,,,16,omp,fp32,cpu,OpenMP,0.0072285801,0.032386196,0.0060980686,0.0783099722,0.0031431858,0.0014098046,0.0040381549,0.0518570417,0.0072350314,0.0581398923,0.0073987593,0.0950131389,0.0778709075,1.0163,,58.0315,13058.5,2400,SPMV,SPMV_cpu_intel_16.csv
Intel_CPU-only_20t,Intel,,,20,omp,fp32,cpu,OpenMP,0.0072804286,0.0334484387,0.0061870316,0.0783099722,0.0021377821,0.0013920491,0.0040970664,0.0518570417,0.0073246117,0.0592309662,0.0075066977,0.0950131389,0.07900694361111112,1.0169,,65.3943,15491.0,2400,SPMV,SPMV_cpu_intel_20.csv
