metric,policy,lower_is_better,problem_size,platform_a,platform_a_label,platform_b,platform_b_label,a_median,b_median,a_over_b_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_a_better,cliffs_delta_a_minus_b,a_configuration,b_configuration,a_selection_status,b_selection_status,energy_domain_a,energy_domain_b,inference_scope
efficiency_gflop_per_j,efficiency_opt,False,128,INTEL,Intel CPU,5060ti,RTX 5060 Ti,3.549585868706547,9.884731317982787,0.35909786058109305,0.34426569357686504,0.42088231842774176,clear_5060ti,0.0,-1.0,4T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,INTEL,Intel CPU,AMD,AMD CPU,3.549585868706547,2.760215340495524,1.2859815017437417,1.2277769560917007,1.5072406029744871,clear_INTEL,1.0,1.0,4T,4T,clear_leader,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,3090,RTX 3090,5060ti,RTX 5060 Ti,15.522389391977264,26.89383915349582,0.577172686405376,0.5741375576248027,0.5836666194646984,clear_5060ti,0.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,AMD,AMD CPU,3090,RTX 3090,3.217148129061157,15.522389391977264,0.20725856360258157,0.20444433788345098,0.209170401029952,clear_3090,0.0,-1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,AMD,AMD CPU,5060ti,RTX 5060 Ti,3.217148129061157,26.89383915349582,0.11962398193502148,0.11803648950200299,0.12108662500634607,clear_5060ti,0.0,-1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,INTEL,Intel CPU,3090,RTX 3090,6.085377997102079,15.522389391977264,0.39203874116489457,0.37924657492294606,0.4143794546093147,clear_3090,0.0,-1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,INTEL,Intel CPU,5060ti,RTX 5060 Ti,6.085377997102079,26.89383915349582,0.22627405341312404,0.21889076445831446,0.2391685030080527,clear_5060ti,0.0,-1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,256,INTEL,Intel CPU,AMD,AMD CPU,6.085377997102079,3.217148129061157,1.8915442351353409,1.8298234260184858,1.9993357447168627,clear_INTEL,1.0,1.0,8T,4T,clear_leader,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,512,3090,RTX 3090,5060ti,RTX 5060 Ti,35.68179792447602,36.60702876569246,0.9747253226384888,0.9617752642155893,1.0586823012313897,uncertain_5060ti_advantage,0.2,-0.6,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,512,AMD,AMD CPU,3090,RTX 3090,3.974530019029408,35.68179792447602,0.11138816568161407,0.10255471882909148,0.11819079723651098,clear_3090,0.0,-1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
