platform,problem_size,threads,rows,median_temp_c,max_temp_c,rows_temp_ge_95c,rows_temp_ge_100c,median_clock_before_mhz,median_clock_after_mhz,median_clock_after_before_ratio,min_clock_after_before_ratio
amd,2000000,1,50,67.0,75.0,0,0,1872.0,1823.5,0.9606105076161735,0.9101978691019786
amd,2000000,2,50,74.0,79.0,0,0,1921.0,1871.0,0.9727186669664114,0.9082796232027764
amd,2000000,4,50,72.0,78.0,0,0,1986.5,1947.5,0.9804077532904552,0.9426877470355731
amd,2000000,8,50,72.0,78.0,0,0,2178.5,2144.0,0.9855246491361402,0.9351520572450805
amd,2000000,10,50,71.0,78.0,0,0,2260.0,2234.0,0.9889968275934625,0.9164535379369139
amd,2000000,16,50,71.0,77.0,0,0,2494.0,2472.0,0.9880356789681437,0.9167910447761194
amd,2000000,20,50,72.0,82.0,0,0,2623.5,2590.0,0.9866846720283133,0.9338813438170122
amd,2000000,32,50,64.0,74.0,0,0,3055.0,3021.5,0.9918139933569057,0.9117559078671852
amd,2000000,64,50,63.0,68.0,0,0,4140.5,4141.0,0.9989138292922672,0.9675390035228988
amd,4000000,1,50,69.0,74.0,0,0,1873.0,1794.0,0.9583333333333334,0.9300155520995335
amd,4000000,2,50,68.0,74.0,0,0,1937.0,1834.0,0.9592050209205021,0.9106256206554121
amd,4000000,4,50,73.0,79.0,0,0,1986.0,1945.5,0.977403842675984,0.9244655581947744
amd,4000000,8,50,76.0,81.0,0,0,2123.0,2093.0,0.9819807094853346,0.9241534988713318
amd,4000000,10,50,76.0,81.0,0,0,2237.0,2198.5,0.9850520945348531,0.9115531104528142
amd,4000000,16,50,79.0,85.0,0,0,2472.0,2449.0,0.9908267039814685,0.9445972495088408
amd,4000000,20,50,80.0,87.0,0,0,2649.5,2606.0,0.9888589122430526,0.9190458980845682
amd,4000000,32,50,70.0,75.0,0,0,3033.5,2981.5,0.9825410654203639,0.9271613342409802
amd,4000000,64,50,68.0,73.0,0,0,4123.0,4114.0,0.9979389235552223,0.9834690943938668
amd,8000000,1,50,70.0,76.0,0,0,1793.0,1794.0,1.0005577244841048,0.9634801288936627
amd,8000000,2,50,69.0,75.0,0,0,1912.0,1834.0,0.9597069597069597,0.9092711948438275
amd,8000000,4,50,69.0,77.0,0,0,1988.0,1913.0,0.9641142256585962,0.8968105065666041
amd,8000000,8,50,77.0,81.0,0,0,2124.0,2056.0,0.969438210806987,0.9205208801077683
amd,8000000,10,50,72.0,76.0,0,0,2204.5,2169.5,0.9839002267573695,0.9292267365661862
amd,8000000,16,50,84.0,88.0,0,0,2411.5,2395.0,0.984628259959255,0.9428918590522479
amd,8000000,20,50,79.5,86.0,0,0,2558.0,2522.5,0.9853596539197093,0.9317760474601409
amd,8000000,32,50,72.0,78.0,0,0,2965.0,2868.0,0.9682408293226739,0.8677956030897207
amd,8000000,64,50,75.0,82.0,0,0,4074.0,3994.0,0.9804858570354829,0.9576291942199363
amd,16000000,1,50,70.0,73.0,0,0,1793.0,1794.0,1.0005577244841048,0.9846407021393307
amd,16000000,2,50,71.0,74.0,0,0,1832.0,1834.0,1.0010917030567685,0.9597069597069597
amd,16000000,4,50,68.0,73.0,0,0,1985.0,1912.0,0.9636455417374146,0.9191530317613089
amd,16000000,8,50,68.0,77.0,0,0,2132.0,2064.0,0.9712332449933061,0.9213583556747096
amd,16000000,10,50,67.0,81.0,0,0,2208.0,2142.0,0.9705948504227326,0.9305555555555556
amd,16000000,16,50,68.0,72.0,0,0,2406.0,2364.0,0.9857882818510829,0.9361617763679619
amd,16000000,20,50,66.0,71.0,0,0,2555.0,2445.0,0.9579324448401547,0.7955950540958269
amd,16000000,32,50,66.0,73.0,0,0,2987.5,2952.5,0.9905975374126877,0.9631080639895527
amd,16000000,64,50,67.0,71.0,0,0,4120.5,4148.0,1.0052138855806978,0.998318116290245
amd,32000000,1,50,70.0,75.0,0,0,1793.0,1794.0,1.0005577244841048,0.9686836518046709
amd,32000000,2,50,71.0,76.0,0,0,1832.0,1834.0,1.0010917030567685,0.9693446088794926
amd,32000000,4,50,70.0,77.0,0,0,1905.0,1910.0,1.0021008403361344,0.9502487562189055
amd,32000000,8,50,69.0,76.0,0,0,2129.0,2064.0,0.9696540178867878,0.8396418396418397
amd,32000000,10,50,69.0,77.0,0,0,2204.0,2140.0,0.9714026327734907,0.9286025250326513
amd,32000000,16,50,69.0,74.0,0,0,2421.0,2365.0,0.9770473676243839,0.9307359307359307
amd,32000000,20,50,68.0,73.0,0,0,2571.5,2517.0,0.9786241224546333,0.9475471698113207
amd,32000000,32,50,67.5,74.0,0,0,2975.5,2961.5,0.9921446428068582,0.9678688524590164
amd,32000000,64,50,68.0,80.0,0,0,4117.0,4172.0,1.0123024677672667,1.0043124101581218
amd,64000000,1,50,70.0,73.0,0,0,1793.0,1794.0,1.0005577244841048,0.9702541914548405
amd,64000000,2,50,71.0,73.0,0,0,1832.0,1834.0,1.0010917030567685,0.9556830031282586
amd,64000000,4,50,71.0,80.0,0,0,1904.0,1910.0,1.0031512605042017,0.9865563598759048
amd,64000000,8,50,72.0,76.0,0,0,2050.0,2060.5,1.004390243902439,0.9865836128413992
amd,64000000,10,50,70.0,75.0,0,0,2195.5,2141.5,0.987072945521699,0.9513609995537706
amd,64000000,16,50,73.0,80.0,0,0,2420.5,2367.0,0.9774140074595938,0.9518265756724207
amd,64000000,20,50,72.0,80.0,0,0,2569.0,2516.0,0.977964415048149,0.9541492989768852
amd,64000000,32,50,67.5,81.0,0,0,2970.5,2964.0,0.9993261455525606,0.9642160052049447
amd,64000000,64,50,68.0,79.0,0,0,4091.0,4147.0,1.0163514535227582,1.00829470602586
amd,128000000,1,50,70.0,74.0,0,0,1793.0,1794.0,1.0005577244841048,0.9547631718999467
amd,128000000,2,50,71.0,76.0,0,0,1832.0,1834.0,1.0010917030567685,0.9652631578947368
amd,128000000,4,50,69.0,72.0,0,0,1910.0,1916.0,1.0028795811518325,0.9876288659793815
amd,128000000,8,50,70.0,79.0,0,0,2053.0,2066.0,1.0060840309616181,0.978219696969697
amd,128000000,10,50,70.0,75.0,0,0,2128.0,2143.0,1.0070488721804511,0.9912240184757506
amd,128000000,16,50,74.0,79.0,0,0,2345.0,2367.0,1.009592792340817,0.9797353184449958
amd,128000000,20,50,75.0,79.0,0,0,2531.0,2513.0,0.9928895908741089,0.9256259204712813
amd,128000000,32,50,70.0,75.0,0,0,2925.0,2953.0,1.0096075626261287,0.968944099378882
amd,128000000,64,50,69.0,74.0,0,0,4055.0,4149.0,1.0255440047080668,1.0083028083028083
amd,256000000,1,50,69.0,72.0,0,0,1793.0,1795.0,1.0005577244841048,0.9645877378435518
amd,256000000,2,50,71.0,74.0,0,0,1832.0,1834.0,1.0016375545851528,0.9849624060150376
amd,256000000,4,50,70.5,74.0,0,0,1909.0,1915.0,1.0026212321591312,0.9570214892553723
amd,256000000,8,50,72.0,76.0,0,0,2053.0,2065.5,1.006327576991818,0.9020550940096196
amd,256000000,10,50,72.0,76.0,0,0,2125.0,2141.0,1.007962703962704,0.9736123748862603
amd,256000000,16,50,75.0,82.0,0,0,2340.0,2368.0,1.0109158390122426,0.9945332211942809
amd,256000000,20,50,76.0,83.0,0,0,2486.5,2510.5,1.0096638001478657,0.9485116653258246
amd,256000000,32,50,71.0,77.0,0,0,2912.0,2962.0,1.0168126703199367,0.9916331994645248
amd,256000000,64,50,72.0,80.0,0,0,4021.0,4145.5,1.0307940945768967,1.024498886414254
intel,1000000,1,50,78.5,93.0,0,0,1627.5,1339.0,0.8322583583997826,0.7459610027855154
intel,1000000,2,50,80.5,86.0,0,0,1774.0,1604.0,0.9035915942582677,0.7254901960784313
intel,1000000,4,50,83.0,86.0,0,0,2027.5,1840.0,0.9052631578947369,0.7468519322622666
intel,1000000,8,50,86.0,90.0,0,0,2446.0,2300.0,0.9153011174109502,0.8372770294867128
intel,1000000,10,50,90.0,92.0,0,0,2742.0,2519.0,0.9062955624944684,0.8056394763343404
intel,1000000,16,50,85.0,87.0,0,0,3543.5,3119.5,0.9058187945027911,0.8434288804759329
intel,1000000,20,50,91.0,97.0,4,0,3987.5,3600.0,0.9028091550114468,0.89975
intel,2000000,1,50,76.0,94.0,0,0,1650.5,1340.0,0.8121212121212121,0.6923474663908997
intel,2000000,2,50,79.5,88.0,0,0,1780.0,1605.0,0.849822667458219,0.725
intel,2000000,4,50,80.0,88.0,0,0,2038.0,1839.0,0.8969161384595956,0.7449112169770463
intel,2000000,8,50,82.0,86.0,0,0,2583.5,2291.0,0.8857819378671519,0.6832261835184102
intel,2000000,10,50,85.0,91.0,0,0,2832.5,2519.0,0.8809132497458488,0.8091706001348618
intel,2000000,16,50,79.5,85.0,0,0,3560.0,3119.0,0.8762466811470209,0.8414239482200647
intel,2000000,20,50,85.0,87.0,0,0,4000.0,3599.0,0.8999749937484371,0.896414342629482
intel,4000000,1,50,78.0,97.0,3,0,1649.0,1339.0,0.8296649193431609,0.34403905447070915
intel,4000000,2,50,77.0,90.0,0,0,1812.5,1605.0,0.8444256558824361,0.7369146005509641
intel,4000000,4,50,76.0,86.0,0,0,2039.0,1774.5,0.8820914662449747,0.7212857702861623
intel,4000000,8,50,75.0,83.0,0,0,2626.0,2303.5,0.874959892223899,0.7715531700771553
intel,4000000,10,50,77.0,84.0,0,0,2890.0,2519.0,0.8665521625579017,0.7975398936170213
intel,4000000,16,50,76.0,84.0,0,0,3440.0,3120.0,0.9069496946786857,0.8207894736842105
intel,4000000,20,50,79.0,85.0,0,0,4000.0,3599.0,0.8999749937484371,0.8877928483353884
intel,8000000,1,50,78.0,98.0,3,0,1364.5,1340.0,0.9824046920821115,0.35714285714285715
intel,8000000,2,50,77.0,95.0,1,0,1816.0,1605.0,0.8852459016393442,0.7048309178743961
intel,8000000,4,50,74.0,86.0,0,0,2167.5,1849.0,0.8428349063695886,0.6695212144803425
intel,8000000,8,50,77.0,87.0,0,0,2599.5,2299.5,0.8875416918440574,0.7642134635507499
intel,8000000,10,50,79.0,88.0,0,0,2907.0,2519.0,0.8656358410547633,0.7584571609231742
intel,8000000,16,50,75.0,86.0,0,0,3580.0,3130.0,0.8763773956262726,0.8396124865446717
intel,8000000,20,50,75.0,86.0,0,0,4000.5,3600.0,0.8997625281179705,0.888641975308642
intel,16000000,1,50,78.0,100.0,4,1,1364.0,1340.0,0.9918565033928266,0.8999328408327737
intel,16000000,2,50,77.0,96.0,1,0,1664.5,1619.0,0.9617097908751947,0.42853361566966647
intel,16000000,4,50,76.0,91.0,0,0,2040.0,1839.0,0.8958078498687361,0.7324786324786324
intel,16000000,8,50,76.0,90.0,0,0,2620.0,2300.5,0.855090807358652,0.7345971563981043
intel,16000000,10,50,79.0,89.0,0,0,2888.0,2519.0,0.8679689524053773,0.7914879577697129
intel,16000000,16,50,76.0,89.0,0,0,3579.0,3162.0,0.902130482775031,0.8432956381260097
intel,16000000,20,50,78.0,88.0,0,0,4026.0,3599.0,0.8940636109984315,0.888641975308642
intel,32000000,1,50,77.0,100.0,5,1,1364.0,1339.0,0.9881924201426561,0.8095525997581621
intel,32000000,2,50,75.0,95.0,2,0,1635.0,1619.0,0.9836476524758608,0.8309938236945537
intel,32000000,4,50,75.0,94.0,0,0,1888.0,1720.0,0.9656054957779096,0.8377192982456141
intel,32000000,8,50,74.0,90.0,0,0,2476.0,2324.0,0.9298342764753436,0.8388697976326842
intel,32000000,10,50,76.0,89.0,0,0,2895.0,2519.0,0.8701433219782632,0.7574992106094095
intel,32000000,16,50,75.0,91.0,0,0,3580.0,3180.0,0.9150594608397475,0.8217616580310881
intel,32000000,20,50,77.0,88.0,0,0,4030.0,3599.0,0.8930521091811414,0.8884226117008146
intel,64000000,1,50,77.0,99.0,4,0,1364.0,1340.0,0.9816849816849816,0.8291021671826625
intel,64000000,2,50,76.0,97.0,1,0,1635.0,1604.0,0.973833432814859,0.7833333333333333
intel,64000000,4,50,75.0,91.0,0,0,1902.0,1840.0,0.9615384615384616,0.8328488372093024
intel,64000000,8,50,76.0,92.0,0,0,2459.0,2324.0,0.9449075405760158,0.8788109756097561
intel,64000000,10,50,75.0,90.0,0,0,2740.0,2520.0,0.919693372028259,0.8333333333333334
intel,64000000,16,50,76.0,92.0,0,0,3019.0,3180.0,1.0887316243954606,0.8879888268156425
intel,64000000,20,50,78.0,94.0,0,0,4024.0,3599.0,0.8943836978131213,0.8831901840490798
intel,128000000,1,50,80.0,100.0,4,1,1364.0,1340.0,0.9824046920821115,0.7757821552723059
intel,128000000,2,50,76.0,96.0,2,0,1643.5,1599.0,0.9733377221856485,0.7876530069185738
intel,128000000,4,50,75.0,92.0,0,0,1900.0,1824.5,0.9560798654647784,0.7534637326813366
intel,128000000,8,50,76.0,98.0,4,0,2460.0,2300.0,0.9415014944156048,0.6298455260856893
intel,128000000,10,50,77.0,93.0,0,0,2763.0,2519.0,0.9117221418234442,0.8249656121045392
intel,128000000,16,50,76.0,93.0,0,0,2921.5,3251.0,1.099102521995749,0.9126539753639418
intel,128000000,20,50,78.0,98.0,2,0,4027.5,3599.0,0.8936064693902059,0.8834355828220859
intel,256000000,1,50,98.0,100.0,50,5,1364.0,1340.0,0.9838359462727823,0.7722029988465975
intel,256000000,2,50,74.0,99.0,2,0,1635.0,1604.0,0.9816457615128069,0.8338060124787294
intel,256000000,4,50,75.0,94.0,0,0,1900.0,1840.0,0.9658197139938713,0.7727272727272727
intel,256000000,8,50,75.0,98.0,2,0,2460.5,2299.5,0.934959504091398,0.7984749455337691
intel,256000000,10,50,77.0,97.0,2,0,2740.0,2519.0,0.9182000669120107,0.7957559681697612
intel,256000000,16,50,78.0,100.0,3,1,3009.0,2700.0,0.9353776853776854,0.7857974388824214
intel,256000000,20,50,78.0,99.0,3,0,3994.0,3599.0,0.9023698659658246,0.8866715939886671
