session_number,problem_size,num_threads,runtime_per_op_s,time_per_op_ms_e2e,package_energy_per_op_j,package_avg_power_w,gflops_per_s,edp_package_j_s,temp_c,sm_clock_mhz,batches
2,64,1,2.291172551401459e-06,0.0022909999999999996,0.00013803545967442087,60.24669483449807,228.83,3.1626309937798345e-10,98.0,,433013.0
2,64,2,2.4645611655538983e-06,0.002465,0.00016729455786228367,68.12770648865398,212.73,4.108144275577595e-10,98.0,,399604.0
2,64,4,2.5245060031786837e-06,0.0025245,0.00015334664267627657,60.86617984688321,207.685,3.8794209340223957e-10,99.0,,388211.0
2,64,8,2.524669525731584e-06,0.0025250000000000003,0.00015346792003027247,60.75489305707059,207.67000000000002,3.8624813064774573e-10,99.0,,396400.0
2,64,10,2.4990536791883294e-06,0.002499,0.00015479818785295982,62.08799289155611,209.79500000000002,3.87920155261943e-10,99.0,,392573.0
2,64,16,2.512453447111147e-06,0.0025125,0.00015408991268272713,61.25947297969424,208.675,3.8860196260819666e-10,99.0,,398203.0
2,64,20,2.4818747692945597e-06,0.002482,0.00016295358459368035,65.77859233126911,211.245,4.0271808219282485e-10,99.0,,395526.0
2,128,1,2.764251824311201e-05,0.0276425,0.0016863067478704809,60.87860143472092,151.735,4.676835533478964e-08,98.0,,36041.0
2,128,2,2.0457658043340878e-05,0.020458,0.0014686984791959716,71.70039034289941,205.025,3.00461372749595e-08,93.5,,49053.0
2,128,4,1.2690799774133109e-05,0.0126905,0.001281575999075999,101.30157457578535,330.5,1.6194992503229935e-08,99.0,,77922.0
2,128,8,1.2736947063089194e-05,0.012737,0.0015698033870120776,123.27580282966252,329.305,1.9923642151529117e-08,97.0,,79982.0
2,128,10,1.211558783888551e-05,0.0121155,0.0014982377774597154,123.59878820452063,346.19,1.8156633505523653e-08,98.0,,83841.0
2,128,16,1.2555310969182116e-05,0.0125555,0.0014895722949091585,118.28783668918292,334.08000000000004,1.8668698777881028e-08,92.0,,80635.0
2,128,20,1.3090033124486442e-05,0.013090000000000001,0.0016078915686626952,122.77853855321592,320.42,2.0981677452233394e-08,97.0,,77888.0
2,256,1,0.00018856003649635035,0.18856,0.012233129105839416,64.93903401410483,177.95,2.3044610438302015e-06,99.0,,5480.0
2,256,2,0.00011474588086185045,0.1147455,0.00954741335407305,83.25186812558661,292.425,1.0953179017894726e-06,98.5,,8679.0
2,256,4,6.545919630063827e-05,0.06545899999999999,0.00703114934219096,107.42307680197558,512.5999999999999,4.6020896908161473e-07,100.0,,15354.0
2,256,8,3.990739521190052e-05,0.0399075,0.005511326412024483,138.13997377684967,840.81,2.1981979877706403e-07,99.5,,25814.0
2,256,10,6.290887969446213e-05,0.06290899999999999,0.008623425747931254,137.03930478602535,533.385,5.42336983331452e-07,94.0,,15710.0
2,256,16,5.096712218244163e-05,0.050967,0.007795383061872826,152.96942961240535,658.355,3.974520476616894e-07,100.0,,19831.0
2,256,20,5.823037093377018e-05,0.058230500000000004,0.009210473233091505,158.25191220584793,576.2349999999999,5.36596775223385e-07,100.0,,17092.0
2,512,1,0.0013494377510040161,1.3494375,0.08393129585006694,62.301357320721365,198.92000000000002,0.00011300484434579729,98.0,,747.0
2,512,2,0.0008187920792079209,0.8187925,0.0679194154290429,83.17079249578046,327.84000000000003,5.587297321077794e-05,99.5,,1212.0
2,512,4,0.00042842526096033404,0.4284255,0.04324087640918581,101.18684915217565,626.565,1.8456977190896222e-05,95.0,,2395.0
2,512,8,0.0002629244156504065,0.2629245,0.03843761305894309,146.63541638679277,1020.96,1.0088532280786764e-05,99.0,,3936.0
2,512,10,0.0003024793113425926,0.3024795,0.046530127604166666,153.75616596219635,887.45,1.4076959604333109e-05,99.5,,3456.0
2,512,16,0.0002975072628880661,0.29750699999999997,0.04239334463115921,142.56745192094434,902.285,1.262284109552275e-05,100.0,,3511.0
2,512,20,0.00031275319953461315,0.312753,0.0502156319080861,160.6245440830901,858.3,1.5712485862555973e-05,100.0,,3438.0
2,1024,1,0.011798925287356323,11.7989245,0.7242213103448276,61.30290136815333,182.01,0.008546977055238936,98.0,,87.0
