platform,platform_label,device_kind,energy_domain,session_number,problem_size,num_threads,configuration,runtime_per_op_s,total_energy_per_op_j,edp_total_j_s,throughput_gflops,energy_efficiency_gflop_per_j,avg_power_w,temp_c,sm_clock_mhz
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,2,2T,0.010935958978494625,0.7710610698924731,0.008410616740596868,338.2765159059975,4.797775023305885,70.6998558242079,89.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,4,4T,0.005386013758064516,0.5466792204301075,0.002944296110027416,686.8486881137035,6.766996906995047,101.46903141102932,82.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,8,8T,0.002988947820474777,0.41715969436201783,0.001247203603224774,1237.685088788614,8.868009649039003,139.52709693555897,82.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,10,10T,0.00251109474125,0.41144533125,0.0010331913908840163,1473.2124883853903,8.99117312226226,163.4845729881553,98.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,16,16T,0.002565310840506329,0.4034465291139241,0.001035287977694936,1442.0771503717665,9.16943353368272,157.27360791663892,94.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,20,20T,0.0024914947426470588,0.44180119485294117,0.00110080140398254,1484.8021720849576,8.373395481359545,177.36471149417392,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,1,1T,0.041561907,2.17916916,0.09056666149055191,181.72633245406166,3.4659511180715405,52.42551222256466,91.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,2,2T,0.022504584933333335,1.9037506777777775,0.04284290747478577,335.6157404630874,3.967375138480193,84.3870548428305,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,4,4T,0.011705816023255815,1.1635311046511627,0.01359249847290232,645.2418293054084,6.492176204861799,98.65345982382829,88.5,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,5,8,8T,0.006521198435897436,0.9779244743589743,0.006368569281454318,1158.2062736901835,7.723392296276553,148.58733484594035,94.0,-1.0
